transcript_id,freeenergy,length
NM_198686,-219.2,627
NM_005736,-387.1,1131
NM_001144875,-456.1,993
NM_139070,-336.2,1275
NM_138644,-277.1,1140
NM_138643,-211.5,846
NM_153769,-277.1,1140
NM_148415,-1155.3,3135
NM_148416,-1162,3135
NM_012189,-421.4,1482
NM_144615,-377.3,849
NM_001018073,-552.6,1326
NM_139069,-287.2,1149
NM_001135044,-191.3,729
NM_002752,-339.9,1275
NM_139068,-288.3,1149
NM_170711,-418.4,1137
NM_017492,-1184.3,3189
NM_001146037,-454.5,1338
NM_001261410,-811.5,2205
NM_003382,-458.6,1317
NM_001261408,-904.7,2478
NM_006513,-516.3,1545
NM_001128588,-454.5,1338
NM_003567,-904.7,2478
NM_013976,-538.6,1287
NM_001280787,-199.7,576
NM_001171610,-798.67,2199
NM_001281443,-313.3,822
NM_000450,-606.1,1833
NM_000655,-346.1,1158
NM_001017365,-240.9,759
NM_001017366,-240.2,756
NM_001306075,-187,696
NM_018401,-437.4,1245
NM_198531,-1159.6,3444
NM_001306090,-1221.3,2976
NM_175907,-410.1,1134
NM_001105079,-1364.6,2943
NM_007082,-206.8,687
NM_013412,-206.8,687
NM_000545,-785,1896
NM_019556,-171.8,642
NM_001306200,-133.3,408
NM_003248,-1078.7,2886
NM_001306213,-972.6,2613
NM_178835,-1058,3234
NM_004537,-260.8,1176
NM_001143995,-402.1,1176
NM_018093,-467.6,1158
NM_018484,-693.8,1653
NM_001307990,-1005.6,2439
NM_004579,-1011.3,2463
NM_001128212,-396,1431
NM_006033,-509.3,1503
NM_003797,-379,1326
NM_001308038,-88.9,492
NM_173666,-276.9,897
NM_001281300,-740.2,1743
NM_182493,-1041.2,2460
NM_004421,-896.4,2013
NM_002828,-321.7,1248
NM_001145796,-870.8,2016
NM_080423,-268.9,1062
NM_001040649,-110.2,339
NM_001207013,-308.3,1233
NM_001145795,-992.7,2271
NM_015503,-870.8,2016
NM_001145797,-901.1,2052
NM_080422,-291.6,1164
NM_005246,-605.3,2469
NM_001128166,-423.4,1635
NM_002578,-423.4,1635
NM_022757,-702.8,2739
NM_018110,-359.3,981
NM_001099640,-139,405
NM_144973,-1102.3,3825
NM_001159587,-1195.2,4287
NM_080867,-313.8,1323
NM_018286,-139,405
NM_022726,-256.3,945
NM_001243251,-213,753
NM_024678,-435.5,1434
NM_001242397,-257.9,1074
NM_002822,-250.2,1053
NM_007284,-421.6,1050
NM_002052,-620.7,1329
NM_031946,-1220.5,2736
NM_001042535,-492.9,1191
NM_001308304,-436.8,1032
NM_006965,-344.3,1107
NM_014048,-880,3150
NM_014498,-532.8,2091
NM_020307,-454.2,1581
NM_001018,-174,438
NM_173657,-155.3,756
NM_001308235,-645.7,1323
NM_173505,-313,906
NM_004058,-384.9,828
NM_080590,-334,747
NM_001308278,-262,855
NM_001308293,-992.7,2271
NM_015967,-611,2424
NM_001017928,-105.5,435
NM_001308341,-251.8,744
NM_203475,-556.5,1386
NM_182763,-379.1,816
NM_173475,-321.4,915
NM_031443,-507.2,1335
NM_001126059,-197.6,570
NM_022825,-548.8,1353
NM_001174085,-581,1452
NM_015319,-1785.5,4260
NM_022165,-279.7,624
NM_017844,-889.7,2154
NM_001282167,-459.7,1140
NM_170754,-1783.6,4230
NM_078474,-264.3,744
NM_001167935,-376.3,1062
NM_153635,-589.7,1662
NM_020828,-795.4,2607
NM_153370,-551.6,1392
NM_013274,-694.4,1728
NM_001126057,-501.7,1197
NM_203473,-551,1371
NM_001174084,-694.4,1728
NM_001190348,-542.3,1311
NM_001029835,-526.3,1398
NM_001190347,-569.8,1350
NM_001271620,-1362.8,3675
NM_001080538,-323.2,1035
NM_001204830,-258,1122
NM_145199,-258,1122
NM_001152,-305.9,897
NM_033087,-462.7,1251
NM_173660,-717.1,1515
NM_144988,-191.9,651
NM_001382,-366.6,1227
NM_145197,-258,1122
NM_015929,-258,1122
NM_001605,-1036.2,2907
NM_001305242,-144.8,468
NM_080538,-559.3,1338
NM_017778,-505.3,1938
NM_004429,-406.2,1041
NM_001008393,-110.7,342
NM_015697,-456.8,1266
NM_001007525,-1803.1,4299
NM_178493,-701.4,1491
NM_017421,-344.6,1110
NM_001286562,-248.3,969
NM_001290355,-1759,4290
NM_014433,-389.2,1047
NM_001043318,-1260.3,3138
NM_001308150,-379,1161
NM_030627,-694,2190
NM_001308192,-311.8,1020
NM_001007559,-371.8,1257
NM_005637,-339.4,1164
NM_001308204,-96.7,402
NM_001308205,-96.7,402
NM_198567,-441.2,1374
NM_003799,-348.7,1431
NM_015272,-980.6,3948
NM_020313,-311,939
NM_194312,-1551.8,3018
NM_001282949,-206.3,693
NM_001282951,-204.4,630
NM_001282950,-259.4,822
NM_022730,-254.5,795
NM_001282952,-142.3,474
NM_000164,-600.8,1401
NM_005793,-223.4,585
NM_001308426,-210.8,561
NM_001308430,-186.2,516
NM_001308431,-169.9,492
NM_001308435,-125.8,360
NM_025146,-127.3,510
NM_147127,-1501.4,3927
NM_001166136,-1352.6,3687
NM_001307994,-319.2,1155
NM_001290149,-149.7,354
NM_001301190,-475.6,1077
NM_052836,-599.8,1593
NM_001303628,-251.9,654
NM_001302891,-636,2742
NM_001302632,-313,807
NM_001304808,-1409.1,3570
NM_001290325,-873.9,3015
NM_001297723,-184.8,570
NM_001291721,-1250.9,3684
NM_001304337,-106.9,306
NM_001304999,-147.1,279
NM_001291918,-234.7,918
NM_006764,-655.7,1521
NM_001144943,-361.1,951
NM_001308151,-229.1,732
NM_001293697,-331.4,1008
NM_001290153,-149.7,354
NM_001306085,-1150.3,3411
NM_001308383,-178,519
NM_001291728,-369.9,900
NM_001302617,-128.8,390
NM_001308142,-943.6,3300
NM_001303229,-228.5,816
NM_001271562,-135.8,372
NM_001307924,-262.1,1152
NM_001308229,-214.1,885
NM_001289979,-736.3,1707
NM_001304802,-574.6,1413
NM_001286212,-322.6,1233
NM_001304536,-962.9,2961
NM_001289746,-375.7,1008
NM_001303108,-447.2,1212
NM_001306146,-687.2,1890
NM_001305102,-361.9,1398
NM_001303538,-574.1,1275
NM_001305204,-98.1,342
NM_001303501,-386.8,993
NM_001301833,-250.7,894
NM_173667,-77,393
NM_025031,-104.3,369
NM_001300776,-263.9,1065
NM_001308026,-209.2,630
NM_001305000,-69,258
NM_001308122,-655.6,1746
NM_001290746,-336.4,849
NM_001039380,-102.8,369
NM_001308419,-182,414
NM_001305842,-127,648
NM_001301685,-158,768
NM_001308046,-1429.2,3123
NM_001291942,-89.3,387
NM_001297578,-80.2,327
NM_001289910,-436.4,1203
NM_001308381,-264.3,837
NM_001304288,-322.2,903
NM_001291980,-970.4,2205
NM_001291291,-372.3,660
NM_001301716,-394.2,1119
NM_001308103,-136.9,438
NM_001308081,-161.54,699
NM_001297741,-346.4,1284
NM_001301779,-656.7,1947
NM_001308064,-118.6,414
NM_001308231,-354.9,1188
NM_001297763,-621.9,2433
NM_001293695,-646.9,1704
NM_001300832,-571,1227
NM_001307985,-575.7,1329
NM_001300796,-99.3,387
NM_152856,-994.8,2559
NM_001293642,-268.8,852
NM_172056,-1197.6,2667
NM_001304373,-69.1,222
NM_001142470,-184.2,738
NM_001303618,-292.9,1011
NM_001303620,-351.8,909
NM_001303107,-447.2,1212
NM_001308396,-202.8,495
NM_001293298,-1433.1,4086
NM_001290214,-510.4,1338
NM_001308211,-671.6,1605
NM_001304492,-532.3,1932
NM_001293735,-35.9,192
NM_173832,-211.7,600
NM_001306160,-217.9,717
NM_001306215,-1062.64,3246
NM_001303251,-474.4,1785
NM_001308273,-233.5,933
NM_001304372,-126,378
NM_001308358,-258.4,801
NM_001291954,-493.5,1761
NM_001302554,-532,1227
NM_001256696,-555.6,1434
NM_001308263,-380.3,1515
NM_001304363,-329.2,1326
NM_001302946,-320,1245
NM_001308007,-402.4,1401
NM_001301687,-312.2,669
NM_001305019,-480.9,993
NM_001303458,-370.8,1314
NM_001290260,-497.7,2211
NM_001291572,-829.2,2514
NM_001306151,-222.9,792
NM_001306159,-207,690
NM_001304485,-52.4,270
NM_001301790,-186.7,720
NM_001304993,-458.6,990
NM_001301187,-721.9,1845
NM_001303007,-379.1,858
NM_001302703,-161.4,573
NM_001290787,-1066.1,2322
NM_001304341,-131,456
NM_001291339,-652.14,2631
NM_001289912,-467.5,1251
NM_001303134,-331.17,1230
NM_001302704,-94.9,372
NM_001199744,-215,627
NM_001290075,-1046.5,2667
NM_020702,-962.6,2145
NM_001290983,-674.7,2715
NM_001278235,-264.7,744
NM_001304443,-642.3,1923
NM_001306188,-118,480
NM_001301410,-241.1,849
NM_001282338,-453.9,1758
NM_001307931,-362,1254
NM_001308230,-1190.7,3207
NM_001304797,-104.2,351
NM_007105,-299.5,762
NM_001303234,-229.7,546
NM_001306145,-353,1092
NM_182530,-792,2733
NM_001290357,-105.4,390
NM_001292025,-463.4,1161
NM_001307977,-438.9,1101
NM_001289937,-1319.6,3168
NM_001291571,-945.5,2814
NM_001291430,-146.5,423
NM_001291447,-1079.6,2721
NM_001291952,-505.4,1800
NM_001297624,-342.1,1479
NM_001308256,-325.2,1071
NM_001306077,-156.1,522
NM_001256695,-1396.8,3534
NM_001300975,-442.3,1584
NM_001282927,-346.9,1206
NM_001293294,-339.7,768
NM_001304486,-52.4,270
NM_001308339,-1099.6,3930
NM_001301856,-243.8,900
NM_001306158,-207,690
NM_001304445,-293.8,1131
NM_001304947,-345.6,1233
NM_001301229,-153.2,603
NM_173541,-174.7,438
NM_001308155,-505.8,2007
NM_001301175,-447.67,1461
NM_001307975,-352.1,1245
NM_001300794,-1242,2754
NM_001308317,-540.7,2262
NM_001289972,-559.17,2217
NM_001301780,-656.7,1947
NM_001291737,-83.8,243
NM_182626,-188.4,480
NM_001308031,-371,1362
NM_001300953,-197.5,693
NM_001304493,-464.6,1758
NM_001303479,-52.8,189
NM_001293296,-339.7,768
NM_182684,-362.1,831
NM_001302691,-503,954
NM_001308388,-537.3,1512
NM_001308201,-339.2,1188
NM_001243203,-60.9,207
NM_001308326,-86.3,393
NM_001304529,-53.8,261
NM_001306092,-614.8,1608
NM_001297567,-64.9,234
NM_001304793,-110.3,351
NM_001302084,-518,1536
NM_001305009,-364.8,1380
NM_001306070,-305.07,1122
NM_001291774,-252.5,756
NM_001308185,-374.7,1287
NM_001308078,-271.4,705
NM_001271156,-211.7,600
NM_001308006,-422,1281
NM_001300923,-339.7,768
NM_001304792,-466.7,2058
NM_001308045,-630.8,2130
NM_001308440,-418.9,1050
NM_001308382,-365.7,903
NM_001297577,-108.6,393
NM_001300897,-47.5,240
NM_001308340,-112.5,381
NM_001308069,-283.5,744
NM_001308054,-639.5,1521
NM_001290155,-149.7,354
NM_001301195,-721.9,1845
NM_001291641,-696.1,1956
NM_001291412,-365.2,1365
NM_001307960,-187,552
NM_001308156,-327.7,1206
NM_001303540,-493.2,1080
NM_001293237,-748.3,2169
NM_001308116,-775.4,2952
NM_001297700,-357.8,1131
NM_001290150,-149.7,354
NM_001294343,-613.2,2082
NM_001308093,-621.3,1332
NM_001303098,-493.9,1083
NM_001301196,-475.6,1077
NM_001308333,-390.2,1083
NM_001290217,-263.6,1011
NM_001306091,-512.8,2130
NM_001289861,-1119.4,3576
NM_001306179,-799.3,1917
NM_001306093,-241.6,765
NM_001289745,-375.7,1008
NM_001293291,-400.5,942
NM_001308294,-406.4,1008
NM_001303542,-598.2,1608
NM_001297666,-202,666
NM_001304995,-147.1,279
NM_001300804,-318.5,741
NM_001306086,-533.3,1794
NM_001301409,-285.8,1074
NM_001308170,-989.4,2415
NM_001302835,-97.3,369
NM_001306147,-341.7,1320
NM_001293163,-559.9,1569
NM_001290151,-149.7,354
NM_001303039,-405.6,1059
NM_001303110,-667,1560
NM_001303474,-460.9,1002
NM_001306219,-436.1,1611
NM_001304795,-162.8,567
NM_032712,-149.7,354
NM_001291733,-185.7,447
NM_001300855,-174.9,408
NM_001290296,-871.3,3015
NM_001305011,-249.4,918
NM_001290318,-668.9,2121
NM_001271934,-195.5,651
NM_001190255,-542.1,1932
NM_001304779,-48.8,225
NM_001173523,-1446.6,3768
NM_001291974,-325.8,1215
NM_001304811,-399.2,1659
NM_001303447,-1027.6,2958
NM_001308018,-250.1,987
NM_001257387,-289.9,969
NM_001302378,-860.1,2355
NM_001307922,-69,378
NM_001297598,-454.3,1668
NM_001290139,-398.5,849
NM_001308248,-623.3,2466
NM_001308445,-124.6,507
NM_001300881,-252.4,516
NM_001308226,-185.5,459
NM_013310,-310.5,612
NM_001308375,-1089.7,2532
NM_015038,-1464.6,4284
NM_001292008,-170.4,657
NM_001307940,-446.5,1788
NM_001289980,-736.3,1707
NM_006010,-182.3,558
NM_001301159,-180.7,372
NM_001305017,-96.9,378
NM_001300807,-310.5,753
NM_001305020,-298.1,573
NM_001304480,-697,2637
NM_182905,-556.6,1398
NM_001290043,-879,2061
NM_001306220,-351.2,1341
NM_001300722,-865.4,2073
NM_001302836,-97.3,369
NM_001301838,-110.5,276
NM_001290118,-140.6,423
NM_001306140,-242.2,642
NM_001297594,-920.3,2940
NM_001300727,-552.7,1542
NM_001303499,-337.5,897
NM_001301105,-83.2,246
NM_001301875,-62.1,243
NM_001306076,-895.61,4365
NM_001307951,-388.7,1101
NM_001297770,-58.5,207
NM_001303614,-846.6,2079
NM_001304748,-333.9,771
NM_001195032,-124.1,378
NM_001304263,-353.9,891
NM_001290062,-567.5,1221
NM_001290210,-109.6,345
NM_001304435,-259.6,942
NM_001302769,-1153.6,3618
NM_001302490,-450.9,1176
NM_001297699,-357.8,1131
NM_001304370,-178.4,441
NM_001304796,-101.4,354
NM_001297721,-155.5,468
NM_001304513,-110.9,336
NM_001301828,-128.4,330
NM_001297662,-501.3,1281
NM_001290152,-149.7,354
NM_001164465,-502.3,1569
NM_001308257,-160.8,645
NM_001288723,-403.2,948
NM_001308347,-300.4,900
NM_001302777,-272.6,825
NM_001308123,-192.7,582
NM_001304524,-808.4,1881
NM_001258330,-751.7,2106
NM_001297778,-249.3,840
NM_001308433,-169.9,492
NM_001277348,-146.7,438
NM_001304762,-241.2,498
NM_001284364,-589.7,1413
NM_001305142,-345.5,900
NM_001291970,-392.4,1245
NM_001301188,-475.6,1077
NM_001301718,-394.2,1119
NM_001290137,-398.5,849
NM_001306171,-347.2,1200
NM_001303473,-460.9,1002
NM_001301861,-1344.2,3348
NM_001308334,-935.2,3810
NM_001308196,-790.2,2619
NM_001281784,-1070.9,3405
NM_001300721,-929.1,2166
NM_001291949,-391.3,1074
NM_001300898,-103,396
NM_001290212,-619.9,1182
NM_001289751,-398,1461
NM_001301837,-116,294
NM_001304764,-1580.9,3714
NM_001290154,-149.7,354
NM_001293197,-271,696
NM_001308195,-826.3,2676
NM_001305115,-268,636
NM_001308305,-892.7,1731
NM_001304794,-162.8,567
NM_001304364,-329.2,1326
NM_001130049,-1137.3,3765
NM_001134367,-802.4,2166
NM_001290230,-217.9,717
NM_001304523,-898.9,2157
NM_001303269,-977.6,3504
NM_001308251,-521,1506
NM_001292030,-249.2,831
NM_001291622,-364.1,1362
NM_001308191,-673.3,2115
NM_001301228,-153.2,603
NM_198988,-754.7,1506
NM_001305141,-345.5,900
NM_001308287,-294.3,1161
NM_001307978,-355,1002
NM_001304494,-464.6,1758
NM_001301140,-181.6,465
NM_001290076,-1046.5,2667
NM_001300972,-417.6,1509
NM_001302489,-435.8,1188
NM_032360,-271.5,849
NM_002691,-1508.8,3324
NM_001256849,-1508.8,3324
NM_178518,-749.9,1527
NM_031361,-497.2,1797
NM_001282418,-986.5,3696
NM_022918,-371.6,1377
NM_001168724,-351,1311
NM_004448,-1584,3768
NM_001005862,-1533,3678
NM_175629,-1151.8,2739
NM_001289938,-741.7,1812
NM_001289936,-1552.8,3723
NM_020394,-370.3,1548
NM_001042750,-1011.6,3807
NM_138957,-306.3,1083
NM_001204221,-141.1,519
NM_032882,-593.6,1200
NM_001171991,-241.6,807
NM_004029,-670.1,1425
NM_005333,-241.6,807
NM_001572,-719.8,1512
NM_001122608,-241.6,807
NM_015401,-1351.6,2976
NM_001098416,-1290.8,2865
NM_001308090,-1325,2925
NM_002061,-247.8,825
NM_001308253,-232.4,759
NM_001256299,-245.8,723
NM_001127696,-249.5,1041
NM_001278665,-73.4,276
NM_005413,-447.7,999
NM_004171,-606.9,1725
NM_001171660,-368.6,1005
NM_001278664,-330.27,1761
NM_003017,-152.9,495
NM_032164,-578.8,1686
NM_033239,-1052.9,2490
NM_000022,-426,1092
NM_001020820,-382.5,969
NM_001278678,-322.1,1725
NM_001243228,-662.8,2034
NM_001040084,-323.3,984
NM_000248,-316.7,1260
NM_001040458,-840.7,2826
NM_152298,-391.3,1350
NM_015979,-1175.7,4098
NM_002675,-832,1902
NM_005612,-960.9,3294
NM_001134663,-74.7,309
NM_006722,-442.9,1560
NM_001040424,-1318.6,3537
NM_001286563,-722.1,2238
NM_004993,-263.7,1086
NM_001173454,-418.8,1287
NM_006769,-179.7,498
NM_001193508,-960.9,3294
NM_203282,-407.37,1980
NM_001160138,-683.7,2772
NM_001144831,-329.1,900
NM_001127500,-1221.1,4227
NM_197960,-750.27,2697
NM_001184967,-385.9,1407
NM_001020819,-382.5,969
NM_001243230,-659.1,1995
NM_015931,-421.6,1062
NM_001645,-84.1,252
NM_033240,-805.6,1836
NM_001033081,-433.3,1095
NM_001164780,-120.9,549
NM_001300900,-295.7,678
NM_001290188,-382.5,969
NM_001303,-444.3,1332
NM_003199,-655.8,2004
NM_005338,-1123.6,3114
NM_015097,-1349.6,4548
NM_001297623,-426.1,1623
NM_001243234,-513.7,1536
NM_001301169,-536.3,1104
NM_001048230,-346.1,981
NM_033093,-329.6,981
NM_138356,-492,1272
NM_001015878,-316.8,930
NM_001033082,-489.8,1185
NM_001011645,-366.3,1167
NM_138373,-382.5,969
NM_001001390,-427.1,1482
NM_001278675,-837.5,2112
NM_001243232,-586,1803
NM_001243227,-637.9,1944
NM_001077180,-293.2,954
NM_001083962,-659.3,2016
NM_172387,-1106.8,2793
NM_001127697,-227.4,933
NM_030660,-225.8,921
NM_021975,-618.7,1656
NM_001001389,-586.1,2100
NM_001006941,-416,1173
NM_198177,-442.2,1515
NM_153257,-440.8,1692
NM_172390,-855,2151
NM_001320,-201.3,648
NM_001202470,-294.4,876
NM_020975,-1398.3,3345
NM_002301,-284.2,999
NM_001290192,-382.5,969
NM_001243235,-510.2,1524
NM_001301170,-447,873
NM_005376,-344.9,711
NM_000674,-346.1,981
NM_002586,-510,1293
NM_001129819,-312.1,837
NM_198159,-441,1563
NM_000044,-1103.5,2763
NM_001173455,-389.4,1194
NM_001290189,-382.5,969
NM_000088,-1893.3,4395
NM_001271702,-380.6,1098
NM_001301168,-604.1,1326
NM_003200,-881.6,1965
NM_001020818,-382.5,969
NM_001162422,-217.8,678
NM_001282934,-1342.9,3597
NM_033250,-977.1,2346
NM_001134664,-74.7,309
NM_004417,-456.4,1104
NM_022115,-1797.3,4524
NM_004230,-434.4,1062
NM_033092,-328.6,1044
NM_001163286,-686,1803
NM_005293,-495,1077
NM_001267700,-279.8,786
NM_020485,-461.07,1254
NM_019093,-522.2,1605
NM_001270521,-1165.8,4080
NM_001278669,-1123.1,2832
NM_001243198,-1066.9,2961
NM_001039706,-702.3,2826
NM_001195193,-640.9,2175
NM_033034,-463.8,1482
NM_001202555,-383.6,1290
NM_000284,-381.3,1173
NM_033244,-752.1,1683
NM_001184968,-58,276
NM_004827,-551.5,1968
NM_033238,-1179.5,2649
NM_023936,-288.6,657
NM_020630,-1356.7,3219
NM_016449,-181,690
NM_001164779,-167.2,723
NM_005238,-425.9,1326
NM_001001392,-130.7,420
NM_033249,-760.3,1758
NM_001278661,-364.27,1857
NM_197961,-697.07,2544
NM_194279,-178.4,465
NM_015604,-512.4,1488
NM_001957,-359.4,1284
NM_001272007,-81.7,183
NM_001164410,-264.9,783
NM_001697,-186.4,642
NM_001142352,-546.6,1401
NM_001258299,-374.6,1677
NM_022110,-399.9,1050
NM_017612,-608.4,2124
NM_016203,-489.4,1710
NM_001143678,-423.3,1338
NM_024429,-239.7,987
NM_005627,-387.8,1296
NM_001143676,-470.3,1581
NM_001304527,-359.3,1335
NM_000967,-436.1,1212
NM_001256442,-490.4,1185
NM_001291543,-140.9,570
NM_001256443,-358.6,900
NM_005087,-484,1866
NM_001013439,-412.3,1611
NM_006839,-683.7,2277
NM_001100170,-675.2,2244
NM_016263,-618.5,1482
NM_001256264,-1488.1,3777
NM_001297764,-590.7,1602
NM_001303416,-706,2157
NM_001184939,-402.2,1518
NM_020909,-603.2,2202
NM_153676,-961.8,2700
NM_001256265,-1453.6,3645
NM_001130867,-474.3,1218
NM_018941,-311.3,861
NM_005709,-615.6,1659
NM_016434,-1567,3660
NM_021232,-731.3,1611
NM_001303418,-706,2157
NM_001283009,-1686.8,3903
NM_032957,-1606.3,3732
NM_001184938,-402.2,1518
NM_000400,-897.2,2283
NM_001026383,-307.8,1461
NM_014020,-305.5,813
NM_002018,-1508,3810
NM_194318,-442.7,1497
NM_138701,-210.9,540
NM_023078,-411.3,861
NM_001258205,-835.6,2376
NM_016138,-234,654
NM_001190983,-172,540
NM_001958,-567.3,1392
NM_001242848,-325.2,1077
NM_012396,-184.2,384
NM_001309474,-363.2,1107
NM_001308632,-1558.7,3402
NM_001309443,-319.2,909
NM_003118,-319,912
NM_014344,-723.5,1314
NM_032492,-187.4,552
NM_032511,-403.6,1230
NM_145204,-164.3,639
NM_001282657,-521.9,1824
NM_001282656,-549.5,1914
NM_003442,-548.4,1917
NM_001238,-392.1,1233
NM_001098511,-557.2,2235
NM_001278182,-819.8,2118
NM_004501,-762.2,2421
NM_002079,-412.7,1242
NM_021072,-892,2673
NM_031844,-791.2,2478
NM_001039958,-587.7,1194
NM_001145549,-347,975
NM_005360,-593.7,1212
NM_001256164,-172.9,618
NM_001256165,-138.6,531
NM_002143,-210.3,582
NM_019026,-212,720
NM_001080514,-306.2,606
NM_030810,-513.2,1299
NM_001031804,-565,1122
NM_181714,-468,2094
NM_001291420,-279.3,825
NM_005895,-1832.7,4497
NM_001122769,-468,2094
NM_001142301,-735.3,2745
NM_005113,-568.1,2196
NM_001270641,-212.4,441
NM_153704,-823.8,2988
NM_001199818,-867.9,2517
NM_152505,-453,2013
NM_198181,-444.5,1299
NM_138334,-286.2,567
NM_001270640,-286.2,567
NM_004486,-1175.3,3009
NM_003666,-286.7,1203
NM_001270639,-286.2,567
NM_001172557,-1396,3405
NM_153234,-262.2,849
NM_001033551,-488.4,1374
NM_001288786,-506.1,1452
NM_001135732,-567.2,1482
NM_153713,-416.4,1014
NM_001082968,-534.1,1524
NM_001288787,-485.2,1389
NM_001270686,-286.2,567
NM_005488,-566.6,1479
NM_003728,-938.8,2796
NM_018671,-1199.3,2835
NM_001205028,-545.7,2040
NM_012118,-431.7,1296
NM_022092,-1402.4,2928
NM_001039675,-1171.4,2790
NM_017440,-577.2,2145
NM_001279352,-753.8,1671
NM_019891,-389,1404
NM_001304829,-298.7,1473
NM_003724,-786.9,1707
