"","transcript_id","freeenergy","length"
"178","NONHSAT001584.2","-304.00"," 855.0000"
"179","NONHSAT001639.2","-284.20"," 920.0000"
"180","NONHSAT001642.2","-89.10"," 482.0000"
"181","NONHSAT001644.2","-445.80","1111.0000"
"182","NONHSAT001645.2","-346.60","1061.0000"
"183","NONHSAT001646.2","-214.80"," 732.0000"
"184","NONHSAT001652.2","-133.00"," 529.0000"
"185","NONHSAT001671.2","-36.90"," 216.0000"
"186","NONHSAT001674.2","-264.60"," 409.0000"
"187","NONHSAT001690.2","-85.10"," 275.0000"
"188","NONHSAT001699.2","-960.20","2904.0000"
"189","NONHSAT001713.2","-176.00"," 459.0000"
"190","NONHSAT001722.2","-188.80"," 569.0000"
"191","NONHSAT001726.2","-284.70"," 880.0000"
"192","NONHSAT001732.2","-386.10","1122.0000"
"193","NONHSAT001746.2","-326.30"," 793.0000"
"194","NONHSAT001750.2","-1345.60","3653.0000"
"195","NONHSAT001758.2","-340.10"," 884.0000"
"196","NONHSAT001792.2","-141.40"," 580.0000"
"197","NONHSAT001813.2","-215.80"," 784.0000"
"198","NONHSAT001822.2","-495.60","1105.0000"
"199","NONHSAT001858.2","-152.50"," 388.0000"
"200","NONHSAT001870.2","-207.10"," 640.0000"
"201","NONHSAT001917.2","-72.10"," 359.0000"
"202","NONHSAT001928.2","-112.60"," 367.0000"
"203","NONHSAT001929.2","-110.20"," 507.0000"
"204","NONHSAT001930.2","-117.90"," 295.0000"
"205","NONHSAT001933.2","-86.50"," 312.0000"
"206","NONHSAT001951.2","-97.00"," 394.0000"
"207","NONHSAT001952.2","-824.10","2238.0000"
"208","NONHSAT001955.2","-810.70","2614.0000"
"209","NONHSAT001963.2","-883.30","2083.0000"
"210","NONHSAT001967.2","-277.10"," 757.0000"
"211","NONHSAT001968.2","-606.70","1659.0000"
"212","NONHSAT001969.2","-218.60"," 759.0000"
"213","NONHSAT001970.2","-412.10","1087.0000"
"214","NONHSAT001971.2","-392.20","1098.0000"
"215","NONHSAT001972.2","-691.20","1904.0000"
"216","NONHSAT001974.2","-283.30"," 770.0000"
"217","NONHSAT001975.2","-454.20","1365.0000"
"218","NONHSAT001976.2","-275.10"," 736.0000"
"219","NONHSAT001981.2","-291.40"," 731.0000"
"220","NONHSAT001985.2","-1181.00","3236.0000"
"221","NONHSAT001986.2","-195.90"," 688.0000"
"222","NONHSAT001991.2","-187.30"," 612.0000"
"223","NONHSAT001993.2","-183.30"," 636.0000"
"224","NONHSAT002014.2","-203.40"," 632.0000"
"225","NONHSAT002032.2","-162.90"," 498.0000"
"226","NONHSAT002060.2","-674.10","1730.0000"
"227","NONHSAT002065.2","-279.30","1108.0000"
"228","NONHSAT002092.2","-104.40"," 437.0000"
"229","NONHSAT002096.2","-93.90"," 335.0000"
"230","NONHSAT002111.2","-156.80"," 480.0000"
"231","NONHSAT002128.2","-146.90"," 377.0000"
"232","NONHSAT002140.2","-159.00"," 587.0000"
"233","NONHSAT002153.2","-369.90","1306.0000"
"234","NONHSAT002162.2","-220.00"," 667.0000"
"235","NONHSAT002168.2","-1937.50","4895.0000"
"236","NONHSAT002171.2","-394.30"," 923.0000"
"237","NONHSAT002176.2","-272.60"," 728.0000"
"238","NONHSAT002187.2","-228.30"," 622.0000"
"239","NONHSAT002189.2","-404.70"," 993.0000"
"240","NONHSAT002190.2","-236.30"," 681.0000"
"241","NONHSAT002205.2","-502.30","1560.0000"
"242","NONHSAT002223.2","-66.10"," 232.0000"
"243","NONHSAT002224.2","-161.40"," 415.0000"
"244","NONHSAT002259.2","-854.50","2849.0000"
"245","NONHSAT002260.2","-202.50"," 630.0000"
"246","NONHSAT002261.2","-1207.50","3442.0000"
"247","NONHSAT002263.2","-449.80","1360.0000"
"248","NONHSAT002268.2","-147.30"," 469.0000"
"249","NONHSAT002269.2","-109.50"," 461.0000"
"250","NONHSAT002270.2","-494.40","1346.0000"
"251","NONHSAT002274.2","-143.90"," 394.0000"
"252","NONHSAT002277.2","-1717.60","4715.0000"
"253","NONHSAT002279.2","-338.50"," 892.0000"
"254","NONHSAT002334.2","-132.80"," 463.0000"
"255","NONHSAT002344.2","-1070.48","3943.0000"
"256","NONHSAT002382.2","-469.80","1594.0000"
"257","NONHSAT002437.2","-622.30","1533.0000"
"258","NONHSAT002438.2","-550.50","1427.0000"
"259","NONHSAT002440.2","-651.10","2088.0000"
"260","NONHSAT002470.2","-1176.10","3744.0000"
"261","NONHSAT002525.2","-209.60"," 646.0000"
"262","NONHSAT002526.2","-1661.90","3805.0000"
"263","NONHSAT002539.2","-85.50"," 288.0000"
"264","NONHSAT002541.2","-247.50"," 726.0000"
"265","NONHSAT002556.2","-741.10","1854.0000"
"266","NONHSAT002557.2","-699.10","1718.0000"
"267","NONHSAT002563.2","-912.90","2241.0000"
"268","NONHSAT002564.2","-851.70","2637.0000"
"269","NONHSAT002565.2","-167.60"," 502.0000"
"270","NONHSAT002566.2","-198.50"," 550.0000"
"271","NONHSAT002569.2","-187.30"," 566.0000"
"272","NONHSAT002571.2","-1161.80","2861.0000"
"273","NONHSAT002573.2","-444.50","1224.0000"
"274","NONHSAT002574.2","-258.80"," 813.0000"
"275","NONHSAT002576.2","-444.80","1408.0000"
"276","NONHSAT002577.2","-280.20"," 875.0000"
"277","NONHSAT002578.2","-222.20"," 578.0000"
"278","NONHSAT002579.2","-243.40"," 579.0000"
"279","NONHSAT002600.2","-548.50","1196.0000"
"280","NONHSAT002629.2","-123.90"," 451.0000"
"281","NONHSAT002640.2","-578.50","2449.0000"
"282","NONHSAT002644.2","-633.80","2740.0000"
"283","NONHSAT002658.2","-1062.40","3182.0000"
"284","NONHSAT002675.2","-355.70"," 661.0000"
"285","NONHSAT002679.2","-1990.60","4800.0000"
"286","NONHSAT002683.2","-82.80"," 434.0000"
"287","NONHSAT002697.2","-123.40"," 394.0000"
"288","NONHSAT002698.2","-125.90"," 429.0000"
"289","NONHSAT002723.2","-834.60","2776.0000"
"290","NONHSAT002746.2","-170.00"," 649.0000"
"291","NONHSAT002760.2","-161.30"," 622.0000"
"292","NONHSAT002761.2","-161.00"," 571.0000"
"293","NONHSAT002762.2","-180.10"," 645.0000"
"294","NONHSAT002771.2","-1121.80","3075.0000"
"295","NONHSAT002775.2","-323.20","1138.0000"
"296","NONHSAT002796.2","-1257.67","3751.0000"
"297","NONHSAT002798.2","-1034.50","3165.0000"
"298","NONHSAT002817.2","-550.90","1574.0000"
"299","NONHSAT002818.2","-200.70"," 592.0000"
"300","NONHSAT002819.2","-264.20"," 686.0000"
"301","NONHSAT002820.2","-211.40"," 647.0000"
"302","NONHSAT002822.2","-169.40"," 424.0000"
"303","NONHSAT002826.2","-77.40"," 271.0000"
"304","NONHSAT002838.2","-493.30","1396.0000"
"305","NONHSAT002854.2","-952.20","2644.0000"
"306","NONHSAT002856.2","-227.00"," 703.0000"
"307","NONHSAT002857.2","-210.20"," 658.0000"
"308","NONHSAT002858.2","-196.20"," 654.0000"
"309","NONHSAT002859.2","-224.10"," 760.0000"
"310","NONHSAT002863.2","-79.20"," 360.0000"
"311","NONHSAT002872.2","-211.00"," 661.0000"
"312","NONHSAT002922.2","-1321.90","3482.0000"
"313","NONHSAT002942.2","-323.90"," 974.0000"
"314","NONHSAT002954.2","-340.20","1364.0000"
"315","NONHSAT002955.2","-244.50"," 914.0000"
"316","NONHSAT002967.2","-361.20","1265.0000"
"317","NONHSAT002975.2","-1490.50","3869.0000"
"318","NONHSAT002986.2","-154.60"," 536.0000"
"319","NONHSAT003011.2","-66.70"," 370.0000"
"320","NONHSAT003013.2","-483.60","1238.0000"
"321","NONHSAT003016.2","-99.70"," 354.0000"
"322","NONHSAT003031.2","-150.90"," 466.0000"
"323","NONHSAT003054.2","-287.30"," 947.0000"
"324","NONHSAT003055.2","-753.70","2037.0000"
"325","NONHSAT003056.2","-461.10","1397.0000"
"326","NONHSAT003057.2","-460.40","1400.0000"
"327","NONHSAT003058.2","-221.30"," 572.0000"
"328","NONHSAT003076.2","-249.50","1046.0000"
"329","NONHSAT003078.2","-128.90"," 483.0000"
"330","NONHSAT003081.2","-947.20","2509.0000"
"331","NONHSAT003082.2","-781.20","1946.0000"
"332","NONHSAT003122.2","-594.00","1674.0000"
"333","NONHSAT003126.2","-317.20","1416.0000"
"334","NONHSAT003128.2","-318.60","1044.0000"
"335","NONHSAT003132.2","-646.90","2275.0000"
"336","NONHSAT003174.2","-227.70"," 466.0000"
"337","NONHSAT003175.2","-1683.20","4535.0000"
"338","NONHSAT003213.2","-281.80","1290.0000"
"339","NONHSAT003215.2","-263.40"," 933.0000"
"340","NONHSAT003218.2","-1048.40","3864.0000"
"341","NONHSAT003230.2","-236.00"," 748.0000"
"342","NONHSAT003234.2","-124.20"," 313.0000"
"343","NONHSAT003240.2","-123.30"," 556.0000"
"344","NONHSAT003242.2","-90.20"," 281.0000"
"345","NONHSAT003245.2","-164.20"," 568.0000"
"346","NONHSAT003261.2","-97.00"," 380.0000"
"347","NONHSAT003288.2","-823.40","1871.0000"
"348","NONHSAT003292.2","-185.20"," 524.0000"
"349","NONHSAT003300.2","-1119.70","3596.0000"
"350","NONHSAT003304.2","-567.20","2177.0000"
"351","NONHSAT003311.2","-1283.90","3033.0000"
"352","NONHSAT003341.2","-194.10"," 650.0000"
"353","NONHSAT003352.2","-608.80","1738.0000"
"354","NONHSAT003355.2","-58.90"," 238.0000"
"355","NONHSAT003394.2","-248.40"," 635.0000"
"356","NONHSAT003403.2","-948.30","3561.0000"
"357","NONHSAT003404.2","-60.90"," 279.0000"
"358","NONHSAT003407.2","-551.90","2048.0000"
"359","NONHSAT003439.2","-157.90"," 899.0000"
"360","NONHSAT003445.2","-514.70","1628.0000"
"361","NONHSAT003449.2","-109.74"," 345.0000"
"362","NONHSAT003458.2","-358.40","1686.0000"
"363","NONHSAT003505.2","-312.90","1079.0000"
"364","NONHSAT003510.2","-993.60","4249.0000"
"365","NONHSAT003522.2","-1012.20","2434.0000"
"366","NONHSAT003538.2","-111.50"," 475.0000"
"367","NONHSAT003558.2","-311.00","1221.0000"
"368","NONHSAT003559.2","-48.30"," 236.0000"
"369","NONHSAT003598.2","-588.00","2130.0000"
"370","NONHSAT003604.2","-1012.00","3833.0000"
"371","NONHSAT003618.2","-182.20"," 427.0000"
"372","NONHSAT003621.2","-75.40"," 270.0000"
"373","NONHSAT003637.2","-166.40"," 546.0000"
"374","NONHSAT003655.2","-572.50","1823.0000"
"375","NONHSAT003664.2","-326.10","1059.0000"
"376","NONHSAT003666.2","-175.80"," 570.0000"
"377","NONHSAT003668.2","-213.70"," 547.0000"
"378","NONHSAT003669.2","-214.50"," 573.0000"
"379","NONHSAT003670.2","-157.40"," 401.0000"
"380","NONHSAT003671.2","-110.60"," 335.0000"
"381","NONHSAT003672.2","-92.40"," 428.0000"
"382","NONHSAT003693.2","-1017.20","3424.0000"
"383","NONHSAT003695.2","-110.40"," 303.0000"
"384","NONHSAT003716.2","-818.10","2804.0000"
"385","NONHSAT003717.2","-320.57","1157.0000"
"386","NONHSAT003740.2","-99.30"," 423.0000"
"387","NONHSAT003744.2","-642.10","2840.0000"
"388","NONHSAT003755.2","-222.70"," 817.0000"
"389","NONHSAT003808.2","-639.30","2247.0000"
"390","NONHSAT003816.2","-124.50"," 475.0000"
"391","NONHSAT003817.2","-108.80"," 458.0000"
"392","NONHSAT003825.2","-285.30","1247.0000"
"393","NONHSAT003885.2","-196.90"," 783.0000"
"394","NONHSAT003893.2","-276.90","1184.0000"
"395","NONHSAT003977.2","-272.20","1410.0000"
"396","NONHSAT004060.2","-445.40","1866.0000"
"397","NONHSAT004135.2","-71.90"," 348.0000"
"398","NONHSAT004185.2","-915.40","3201.0000"
"399","NONHSAT004186.2","-185.70"," 493.0000"
"400","NONHSAT004198.2","-130.30"," 593.0000"
"401","NONHSAT004205.2","-415.40","1624.0000"
"402","NONHSAT004220.2","-108.20"," 356.0000"
"403","NONHSAT004222.2","-334.00"," 979.0000"
"404","NONHSAT004223.2","-254.00"," 806.0000"
"405","NONHSAT004233.2","-218.70"," 479.0000"
"406","NONHSAT004234.2","-39.70"," 227.0000"
"407","NONHSAT004237.2","-477.30","1888.0000"
"408","NONHSAT004238.2","-634.50","2569.0000"
"409","NONHSAT004241.2","-548.20","1481.0000"
"410","NONHSAT004247.2","-139.10"," 646.0000"
"411","NONHSAT004254.2","-93.40"," 402.0000"
"412","NONHSAT004284.2","-378.80","1404.0000"
"413","NONHSAT004291.2","-887.80","2375.0000"
"414","NONHSAT004324.2","-891.00","3542.0000"
"415","NONHSAT004330.2","-560.90","2290.0000"
"416","NONHSAT004332.2","-67.10"," 318.0000"
"417","NONHSAT004335.2","-433.20","1541.0000"
"418","NONHSAT004344.2","-110.60"," 483.0000"
"419","NONHSAT004357.2","-497.70","1485.0000"
"420","NONHSAT004360.2","-548.10","1324.0000"
"421","NONHSAT004366.2","-673.30","1908.0000"
"422","NONHSAT004385.2","-289.40"," 946.0000"
"423","NONHSAT004404.2","-385.00","1169.0000"
"424","NONHSAT004405.2","-562.60","1757.0000"
"425","NONHSAT004408.2","-150.30"," 572.0000"
"426","NONHSAT004409.2","-117.20"," 261.0000"
"427","NONHSAT004410.2","-283.80"," 758.0000"
"428","NONHSAT004414.2","-521.10","1815.0000"
"429","NONHSAT004416.2","-90.80"," 320.0000"
"430","NONHSAT004417.2","-315.80"," 769.0000"
"431","NONHSAT004440.2","-99.00"," 299.0000"
"432","NONHSAT004455.2","-830.40","3084.0000"
"433","NONHSAT004461.2","-71.40"," 346.0000"
"434","NONHSAT004473.2","-808.10","3403.0000"
"435","NONHSAT004485.2","-64.30"," 235.0000"
"436","NONHSAT004490.2","-149.60"," 692.0000"
"437","NONHSAT004491.2","-240.30"," 770.0000"
"438","NONHSAT004492.2","-59.40"," 321.0000"
"439","NONHSAT004494.2","-384.90","1207.0000"
"440","NONHSAT004496.2","-387.20","1212.0000"
"441","NONHSAT004498.2","-139.10"," 448.0000"
"442","NONHSAT004501.2","-120.40"," 358.0000"
"443","NONHSAT004503.2","-185.40"," 714.0000"
"444","NONHSAT004509.2","-146.30"," 600.0000"
"445","NONHSAT004510.2","-59.10"," 235.0000"
"446","NONHSAT004512.2","-1200.90","4033.0000"
"447","NONHSAT004518.2","-638.70","2278.0000"
"448","NONHSAT004519.2","-172.10"," 602.0000"
"449","NONHSAT004527.2","-557.60","1952.0000"
"450","NONHSAT004528.2","-229.10"," 752.0000"
"451","NONHSAT004529.2","-231.80"," 755.0000"
"452","NONHSAT004532.2","-347.50","1486.0000"
"453","NONHSAT004546.2","-522.10","1671.0000"
"454","NONHSAT004554.2","-486.10","2095.0000"
"455","NONHSAT004576.2","-593.50","2551.0000"
"456","NONHSAT004597.2","-547.90","1626.0000"
"457","NONHSAT004598.2","-269.80","1032.0000"
"458","NONHSAT004603.2","-265.90"," 809.0000"
"459","NONHSAT004605.2","-439.50","1331.0000"
"460","NONHSAT004609.2","-211.20"," 713.0000"
"461","NONHSAT004613.2","-906.90","3179.0000"
"462","NONHSAT004615.2","-320.20"," 906.0000"
"463","NONHSAT004619.2","-177.40"," 532.0000"
"464","NONHSAT004622.2","-226.00"," 670.0000"
"465","NONHSAT004625.2","-1274.00","4401.0000"
"466","NONHSAT004626.2","-519.70","1730.0000"
"467","NONHSAT004627.2","-536.90","1827.0000"
"468","NONHSAT004628.2","-1309.10","3378.0000"
"469","NONHSAT004631.2","-416.30","1386.0000"
"470","NONHSAT004632.2","-1324.70","3432.0000"
"471","NONHSAT004634.2","-185.70"," 638.0000"
"472","NONHSAT004635.2","-201.30"," 692.0000"
"473","NONHSAT004637.2","-180.00"," 625.0000"
"474","NONHSAT004638.2","-72.10"," 277.0000"
"475","NONHSAT004642.2","-132.10"," 420.0000"
"476","NONHSAT004728.2","-364.70","1810.0000"
"477","NONHSAT004731.2","-784.50","2639.0000"
"478","NONHSAT004735.2","-645.60","2107.0000"
"479","NONHSAT004737.2","-378.10"," 999.0000"
"480","NONHSAT004770.2","-230.70"," 692.0000"
"481","NONHSAT004784.2","-133.20"," 423.0000"
"482","NONHSAT004802.2","-618.80","2391.0000"
"483","NONHSAT004814.2","-146.90"," 671.0000"
"484","NONHSAT004816.2","-382.00","1326.0000"
"485","NONHSAT004817.2","-586.40","2019.0000"
"486","NONHSAT004822.2","-109.90"," 439.0000"
"487","NONHSAT004823.2","-131.70"," 575.0000"
"488","NONHSAT004824.2","-102.70"," 600.0000"
"489","NONHSAT004825.2","-90.50"," 412.0000"
"490","NONHSAT004826.2","-415.50","1606.0000"
"491","NONHSAT004827.2","-85.80"," 296.0000"
"492","NONHSAT004828.2","-64.10"," 282.0000"
"493","NONHSAT004836.2","-377.40","1531.0000"
"494","NONHSAT004903.2","-456.40","1260.0000"
"495","NONHSAT004926.2","-163.60"," 621.0000"
"496","NONHSAT004964.2","-65.30"," 246.0000"
"497","NONHSAT004981.2","-987.80","2481.0000"
"498","NONHSAT004986.2","-987.80","2481.0000"
"499","NONHSAT005011.2","-699.90","2660.0000"
"500","NONHSAT005013.2","-200.30"," 427.0000"
"501","NONHSAT005025.2","-396.80","1046.0000"
"502","NONHSAT005032.2","-466.50","2028.0000"
"503","NONHSAT005045.2","-265.40","1072.0000"
"504","NONHSAT005048.2","-153.80"," 596.0000"
"505","NONHSAT005068.2","-202.20"," 544.0000"
"506","NONHSAT005088.2","-1597.40","4216.0000"
"507","NONHSAT005108.2","-105.50"," 405.0000"
"508","NONHSAT005109.2","-158.80"," 595.0000"
"509","NONHSAT005111.2","-294.30"," 972.0000"
"510","NONHSAT005112.2","-243.20"," 775.0000"
"511","NONHSAT005113.2","-214.40"," 831.0000"
"512","NONHSAT005115.2","-253.70"," 817.0000"
"513","NONHSAT005116.2","-239.50"," 752.0000"
"514","NONHSAT005117.2","-166.80"," 497.0000"
"515","NONHSAT005119.2","-144.00"," 574.0000"
"516","NONHSAT005180.2","-541.70","2023.0000"
"517","NONHSAT005182.2","-117.80"," 415.0000"
"518","NONHSAT005183.2","-210.70"," 723.0000"
"519","NONHSAT005194.2","-507.10","1542.0000"
"520","NONHSAT005198.2","-667.30","2481.0000"
"521","NONHSAT005199.2","-909.40","2635.0000"
"522","NONHSAT005200.2","-1575.90","4415.0000"
"523","NONHSAT005201.2","-1510.30","4282.0000"
"524","NONHSAT005231.2","-765.20","2559.0000"
