transcript,gene,classification,half-life
NONHSAT000211.2,NONHSAG000059.3,Intergenic,1.701154457
NONHSAT000229.2,NONHSAG000070.3,Intergenic,3.696101158
NONHSAT000230.2,NONHSAG000070.3,Intergenic,2.75528733
NONHSAT000232.2,NONHSAG000070.3,Intergenic,4.611405406
NONHSAT000234.2,NONHSAG000070.3,Intergenic,2.700917441
NONHSAT000235.2,NONHSAG000070.3,Intergenic,4.699375258
NONHSAT000236.2,NONHSAG000070.3,Intergenic,3.214468186
NONHSAT000269.2,NONHSAG000084.2,Intergenic,3.01091942
NONHSAT000271.2,NONHSAG000084.2,Intergenic,8.480976565
NONHSAT000313.2,NONHSAG000104.3,Intergenic,3.551328542
NONHSAT000327.2,NONHSAG000111.2,Intergenic,2.106341793
NONHSAT000333.2,NONHSAG000114.2,Intergenic,2.034351907
NONHSAT000337.2,NONHSAG056052.2,Intergenic,5.477982822
NONHSAT000373.2,NONHSAG000130.3,Intergenic,1.326290416
NONHSAT000387.2,NONHSAG000136.3,Intergenic,32.16774019
NONHSAT000523.2,NONHSAG000190.3,Intergenic,9.698517122
NONHSAT000535.2,NONHSAG000195.3,Intergenic,0.557107011
NONHSAT000537.2,NONHSAG000195.3,Intergenic,5.948037882
NONHSAT000538.2,NONHSAG000195.3,Intergenic,1.564567545
NONHSAT000539.2,NONHSAG000195.3,Intergenic,6.996093317
NONHSAT000540.2,NONHSAG000195.3,Intergenic,3.114891367
NONHSAT000545.2,NONHSAG000195.3,Intergenic,2.333712318
NONHSAT000546.2,NONHSAG000195.3,Intergenic,0.803969623
NONHSAT000554.2,NONHSAG000199.3,Intergenic,0.957646965
NONHSAT000555.2,NONHSAG000199.3,Intergenic,1.463699542
NONHSAT000627.2,NONHSAG000231.2,Intergenic,1.77280295
NONHSAT000635.2,NONHSAG000235.3,Intergenic,2.719412357
NONHSAT000730.2,NONHSAG000279.2,Intergenic,7.177484341
NONHSAT000774.2,NONHSAG000304.2,Intergenic,2.508398078
NONHSAT000786.2,NONHSAG000310.3,Intergenic,4.351816634
NONHSAT000791.2,NONHSAG000311.3,Intergenic,1.03746243
NONHSAT000794.2,NONHSAG000311.3,Intergenic,2.838772796
NONHSAT000806.2,NONHSAG000315.3,Intergenic,3.690648575
NONHSAT000812.2,NONHSAG000320.2,Intergenic,1.771778543
NONHSAT000875.2,NONHSAG000355.3,Intergenic,1.496565318
NONHSAT000951.2,NONHSAG000398.2,Intergenic,1.523905038
NONHSAT001038.2,NONHSAG000438.2,Intergenic,4.205704606
NONHSAT001039.2,NONHSAG000438.2,Intergenic,3.688454721
NONHSAT001041.2,NONHSAG000439.2,Intergenic,13.07238212
NONHSAT001050.2,NONHSAG000442.2,Intergenic,6.242182046
NONHSAT001062.2,NONHSAG000447.3,Intergenic,1.060543368
NONHSAT001084.2,NONHSAG000460.2,Intergenic,2.822528338
NONHSAT001088.2,NONHSAG058760.2,Intergenic,1.64821275
NONHSAT001092.2,NONHSAG000466.2,Intergenic,4.983976511
NONHSAT001093.2,NONHSAG000467.3,Intergenic,1.834736255
NONHSAT001116.2,NONHSAG000473.2,Intergenic,7.274195821
NONHSAT001122.2,NONHSAG000474.3,Intergenic,2.935470759
NONHSAT001124.2,NONHSAG000474.3,Intergenic,3.629599264
NONHSAT001126.2,NONHSAG000474.3,Intergenic,5.66473425
NONHSAT001128.2,NONHSAG000474.3,Intergenic,3.223257594
NONHSAT001137.2,NONHSAG000479.3,Intergenic,2.885777617
NONHSAT001139.2,NONHSAG000480.3,Intergenic,3.064266218
NONHSAT001157.2,NONHSAG000484.2,Intergenic,1.57708976
NONHSAT001158.2,NONHSAG000484.2,Intergenic,9.453470567
NONHSAT001159.2,NONHSAG000484.2,Intergenic,2.451674705
NONHSAT001162.2,NONHSAG000484.2,Intergenic,11.92242756
NONHSAT001164.2,NONHSAG000484.2,Intergenic,1.710324763
NONHSAT001167.2,NONHSAG000484.2,Intergenic,15.83262176
NONHSAT001174.2,NONHSAG000485.3,Intergenic,0.879602988
NONHSAT001175.2,NONHSAG000485.3,Intergenic,2.014465814
NONHSAT001176.2,NONHSAG000485.3,Intergenic,1.20934529
NONHSAT001182.2,NONHSAG000485.3,Intergenic,0.345322975
NONHSAT001183.2,NONHSAG000485.3,Intergenic,0.695053009
NONHSAT001184.2,NONHSAG000485.3,Intergenic,3.071905596
NONHSAT001185.2,NONHSAG000485.3,Intergenic,4.999745378
NONHSAT001209.2,NONHSAG000498.3,Intergenic,0.781733926
NONHSAT001212.2,NONHSAG000498.3,Intergenic,1.289423885
NONHSAT001214.2,NONHSAG000499.2,Intergenic,5.456481752
NONHSAT001215.2,NONHSAG000499.2,Intergenic,3.460866244
NONHSAT001216.2,NONHSAG000499.2,Intergenic,15.43681771
NONHSAT001217.2,NONHSAG000499.2,Intergenic,2.57110565
NONHSAT001236.2,NONHSAG000510.3,Intergenic,0.969064799
NONHSAT001281.2,NONHSAG000536.3,Intergenic,1.038240655
NONHSAT001301.2,NONHSAG000545.2,Intergenic,5.122949924
NONHSAT001366.2,NONHSAG000573.3,Intergenic,2.046237982
NONHSAT001455.2,NONHSAG000625.2,Intergenic,5.196698961
NONHSAT001457.2,NONHSAG000625.2,Intergenic,1.134577753
NONHSAT001460.2,NONHSAG000626.3,Intergenic,1.527839786
NONHSAT001461.2,NONHSAG000626.3,Intergenic,5.653161169
NONHSAT001462.2,NONHSAG000626.3,Intergenic,0.95108671
NONHSAT001464.2,NONHSAG000626.3,Intergenic,3.914857814
NONHSAT001465.2,NONHSAG000626.3,Intergenic,1.03512672
NONHSAT001466.2,NONHSAG000626.3,Intergenic,5.007614135
NONHSAT001467.2,NONHSAG000626.3,Intergenic,3.751903807
NONHSAT001478.2,NONHSAG056219.2,Intergenic,4.238671127
NONHSAT001512.2,NONHSAG000648.3,Intergenic,6.306183909
NONHSAT001528.2,NONHSAG000659.2,Intergenic,4.724331701
NONHSAT001529.2,NONHSAG000660.2,Intergenic,2.674215049
NONHSAT001553.2,NONHSAG000670.3,Intergenic,0.888098605
NONHSAT001642.2,NONHSAG000696.2,Intergenic,3.313472831
NONHSAT001646.2,NONHSAG000698.3,Intergenic,2.35260594
NONHSAT001690.2,NONHSAG000722.2,Intergenic,2.69081672
NONHSAT001699.2,NONHSAG000724.2,Intergenic,4.406080284
NONHSAT001713.2,NONHSAG000727.3,Intergenic,1.379149831
NONHSAT001732.2,NONHSAG000736.2,Intergenic,2.919109521
NONHSAT001822.2,NONHSAG000770.2,Intergenic,1.156294129
NONHSAT001870.2,NONHSAG000797.2,Intergenic,11.0004328
NONHSAT001933.2,NONHSAG000825.2,Intergenic,2.74687024
NONHSAT001963.2,NONHSAG000838.3,Intergenic,0.939193402
NONHSAT001976.2,NONHSAG000840.3,Intergenic,6.871864006
NONHSAT001981.2,NONHSAG000840.3,Intergenic,11.93395008
NONHSAT001985.2,NONHSAG000843.3,Intergenic,2.333367975
NONHSAT001986.2,NONHSAG000843.3,Intergenic,47.04913446
NONHSAT001991.2,NONHSAG000843.3,Intergenic,0.778283285
NONHSAT002032.2,NONHSAG000863.2,Intergenic,0.900811539
NONHSAT002065.2,NONHSAG000882.3,Intergenic,6.275907693
NONHSAT002153.2,NONHSAG000925.3,Intergenic,3.353747556
NONHSAT002187.2,NONHSAG000938.3,Intergenic,0.746608244
NONHSAT002189.2,NONHSAG000938.3,Intergenic,1.229893048
NONHSAT002190.2,NONHSAG000938.3,Intergenic,1.809708242
NONHSAT002201.2,NONHSAG000946.2,Intergenic,17.23763248
NONHSAT002223.2,NONHSAG000956.3,Intergenic,5.619614806
NONHSAT002224.2,NONHSAG000956.3,Intergenic,4.866110362
NONHSAT002259.2,NONHSAG000972.2,Intergenic,6.179180361
NONHSAT002260.2,NONHSAG000973.2,Intergenic,2.761251031
NONHSAT002261.2,NONHSAG000974.2,Intergenic,6.501817765
NONHSAT002263.2,NONHSAG000976.2,Intergenic,5.553659929
NONHSAT002334.2,NONHSAG001009.2,Intergenic,17.84304156
NONHSAT002344.2,NONHSAG001012.2,Intergenic,18.91589607
NONHSAT002437.2,NONHSAG057682.2,Intergenic,1.990905934
NONHSAT002438.2,NONHSAG057682.2,Intergenic,9.540913648
NONHSAT002440.2,NONHSAG001065.2,Intergenic,1.466284849
NONHSAT002541.2,NONHSAG001108.2,Intergenic,10.1860368
NONHSAT002574.2,NONHSAG001118.2,Intergenic,2.9665189
NONHSAT002576.2,NONHSAG001118.2,Intergenic,2.492630542
NONHSAT002577.2,NONHSAG001118.2,Intergenic,1.876127043
NONHSAT002578.2,NONHSAG001118.2,Intergenic,3.112120574
NONHSAT002579.2,NONHSAG001118.2,Intergenic,5.398839406
NONHSAT002600.2,NONHSAG058941.2,Intergenic,4.747504031
NONHSAT002698.2,NONHSAG001191.3,Intergenic,2.131489861
NONHSAT002723.2,NONHSAG001200.2,Intergenic,9.891092193
NONHSAT002746.2,NONHSAG001211.2,Intergenic,6.446270512
NONHSAT002775.2,NONHSAG001223.2,Intergenic,2.623923125
NONHSAT002798.2,NONHSAG001229.3,Intergenic,3.296281428
NONHSAT002827.2,NONHSAG001247.3,Intergenic,0.613351637
NONHSAT002854.2,NONHSAG001259.3,Intergenic,6.92084837
NONHSAT002856.2,NONHSAG001259.3,Intergenic,0.691379324
NONHSAT002857.2,NONHSAG001259.3,Intergenic,1.525577242
NONHSAT002858.2,NONHSAG001259.3,Intergenic,3.833281771
NONHSAT002859.2,NONHSAG001259.3,Intergenic,0.811815662
NONHSAT002922.2,NONHSAG001290.2,Intergenic,3.685732849
NONHSAT002942.2,NONHSAG001297.2,Intergenic,47.93099221
NONHSAT003011.2,NONHSAG001338.2,Intergenic,9.10474094
NONHSAT003013.2,NONHSAG001340.2,Intergenic,2.016342895
NONHSAT003016.2,NONHSAG001342.2,Intergenic,4.369719686
NONHSAT003054.2,NONHSAG001360.2,Intergenic,2.802297991
NONHSAT003055.2,NONHSAG001360.2,Intergenic,1.893753905
NONHSAT003056.2,NONHSAG001365.3,Intergenic,3.083735923
NONHSAT003057.2,NONHSAG001365.3,Intergenic,3.811805651
NONHSAT003058.2,NONHSAG001365.3,Intergenic,1.612399468
NONHSAT003076.2,NONHSAG001375.3,Intergenic,1.443332757
NONHSAT003078.2,NONHSAG001375.3,Intergenic,1.490564494
NONHSAT003081.2,NONHSAG001375.3,Intergenic,3.152706648
NONHSAT003174.2,NONHSAG001437.2,Intergenic,1.189739668
NONHSAT003175.2,NONHSAG001438.3,Intergenic,12.60153111
NONHSAT003245.2,NONHSAG001479.2,Intergenic,5.387823542
NONHSAT003300.2,NONHSAG001502.2,Intergenic,3.0088628
NONHSAT003312.2,NONHSAG056456.2,Intergenic,2.135720296
NONHSAT003341.2,NONHSAG001523.3,Intergenic,1.173883129
NONHSAT003407.2,NONHSAG001566.2,Intergenic,4.875372581
NONHSAT003439.2,NONHSAG001587.2,Intergenic,1.880359508
NONHSAT003445.2,NONHSAG001589.2,Intergenic,1.998072069
NONHSAT003449.2,NONHSAG001589.2,Intergenic,3.525518809
NONHSAT003505.2,NONHSAG001612.2,Intergenic,1.891698694
NONHSAT003522.2,NONHSAG056483.2,Intergenic,3.846086732
NONHSAT003538.2,NONHSAG001627.3,Intergenic,8.460809862
NONHSAT003558.2,NONHSAG001637.3,Intergenic,4.423189602
NONHSAT003559.2,NONHSAG001637.3,Intergenic,10.09766875
NONHSAT003618.2,NONHSAG001668.2,Intergenic,1.6284767
NONHSAT003655.2,NONHSAG001692.3,Intergenic,0.988320772
NONHSAT003664.2,NONHSAG001692.3,Intergenic,2.79731585
NONHSAT003666.2,NONHSAG001692.3,Intergenic,0.968777343
NONHSAT003668.2,NONHSAG001696.3,Intergenic,4.403622578
NONHSAT003669.2,NONHSAG001696.3,Intergenic,2.855689645
NONHSAT003670.2,NONHSAG001696.3,Intergenic,5.48933025
NONHSAT003693.2,NONHSAG001706.2,Intergenic,0.859267749
NONHSAT003716.2,NONHSAG001722.3,Intergenic,3.7749538
NONHSAT003717.2,NONHSAG001722.3,Intergenic,1.325567427
NONHSAT003755.2,NONHSAG001741.3,Intergenic,4.609514492
NONHSAT003885.2,NONHSAG001815.3,Intergenic,0.363908672
NONHSAT003893.2,NONHSAG001815.3,Intergenic,2.452728714
NONHSAT003977.2,NONHSAG001845.2,Intergenic,29.45351432
NONHSAT004021.2,NONHSAG001862.3,Intergenic,2.023992247
NONHSAT004060.2,NONHSAG001878.3,Intergenic,0.638441722
NONHSAT004185.2,NONHSAG001941.3,Intergenic,3.861511843
NONHSAT004198.2,NONHSAG001947.2,Intergenic,3.05202601
NONHSAT004220.2,NONHSAG001955.3,Intergenic,5.151007123
NONHSAT004222.2,NONHSAG001955.3,Intergenic,2.228301187
NONHSAT004223.2,NONHSAG001955.3,Intergenic,2.250477566
NONHSAT004233.2,NONHSAG001962.2,Intergenic,7.716542792
NONHSAT004237.2,NONHSAG001965.2,Intergenic,4.275773499
NONHSAT004284.2,NONHSAG001993.3,Intergenic,4.460312067
NONHSAT004291.2,NONHSAG001993.3,Intergenic,1.918066676
NONHSAT004335.2,NONHSAG002012.2,Intergenic,1.669383939
NONHSAT004370.2,NONHSAG002027.3,Intergenic,2.443037085
NONHSAT004385.2,NONHSAG002037.2,Intergenic,2.188518608
NONHSAT004404.2,NONHSAG002048.3,Intergenic,1.504018015
NONHSAT004405.2,NONHSAG002048.3,Intergenic,1.372732182
NONHSAT004408.2,NONHSAG002048.3,Intergenic,1.398612862
NONHSAT004409.2,NONHSAG002048.3,Intergenic,1.207165547
NONHSAT004410.2,NONHSAG002048.3,Intergenic,0.667426638
NONHSAT004414.2,NONHSAG002048.3,Intergenic,3.259637228
NONHSAT004416.2,NONHSAG002048.3,Intergenic,0.96331246
NONHSAT004417.2,NONHSAG002048.3,Intergenic,2.38058062
NONHSAT004455.2,NONHSAG002067.2,Intergenic,7.364193597
NONHSAT004509.2,NONHSAG002086.3,Intergenic,3.384078099
NONHSAT004510.2,NONHSAG002086.3,Intergenic,1.594164547
NONHSAT004512.2,NONHSAG002086.3,Intergenic,1.175436079
NONHSAT004518.2,NONHSAG002086.3,Intergenic,1.940714858
NONHSAT004519.2,NONHSAG002086.3,Intergenic,4.588806013
NONHSAT004520.2,NONHSAG002086.3,Intergenic,6.642365575
NONHSAT004528.2,NONHSAG002086.3,Intergenic,2.934640603
NONHSAT004529.2,NONHSAG002086.3,Intergenic,1.664823575
NONHSAT004532.2,NONHSAG002089.2,Intergenic,4.847189549
NONHSAT004554.2,NONHSAG002096.3,Intergenic,8.692361872
NONHSAT004597.2,NONHSAG002128.3,Intergenic,3.042673163
NONHSAT004598.2,NONHSAG002128.3,Intergenic,3.11608962
NONHSAT004603.2,NONHSAG002128.3,Intergenic,4.526283543
NONHSAT004605.2,NONHSAG002128.3,Intergenic,3.840532552
NONHSAT004609.2,NONHSAG002128.3,Intergenic,4.618805433
NONHSAT004613.2,NONHSAG002128.3,Intergenic,1.232287868
NONHSAT004615.2,NONHSAG002128.3,Intergenic,2.96762927
NONHSAT004619.2,NONHSAG002128.3,Intergenic,3.416506008
NONHSAT004625.2,NONHSAG002133.3,Intergenic,0.584754558
NONHSAT004626.2,NONHSAG002133.3,Intergenic,1.303454338
NONHSAT004627.2,NONHSAG002133.3,Intergenic,1.342140947
NONHSAT004631.2,NONHSAG002133.3,Intergenic,5.320972487
NONHSAT004634.2,NONHSAG002133.3,Intergenic,9.716904555
NONHSAT004635.2,NONHSAG002133.3,Intergenic,1.056734394
NONHSAT004637.2,NONHSAG002133.3,Intergenic,3.81216394
NONHSAT004728.2,NONHSAG002177.2,Intergenic,1.6774732
NONHSAT004729.2,NONHSAG059277.2,Intergenic,3.521601569
NONHSAT004731.2,NONHSAG059277.2,Intergenic,2.489740089
NONHSAT004735.2,NONHSAG059277.2,Intergenic,2.096790675
NONHSAT004737.2,NONHSAG059277.2,Intergenic,15.51892204
NONHSAT004774.2,NONHSAG002204.2,Intergenic,4.028770174
NONHSAT004784.2,NONHSAG002212.3,Intergenic,3.477412843
NONHSAT004802.2,NONHSAG002223.2,Intergenic,2.937922283
NONHSAT004816.2,NONHSAG002228.3,Intergenic,0.806334664
NONHSAT004817.2,NONHSAG002228.3,Intergenic,1.979022601
NONHSAT004822.2,NONHSAG002228.3,Intergenic,1.005954153
NONHSAT004823.2,NONHSAG002229.2,Intergenic,2.511174468
NONHSAT004824.2,NONHSAG002230.2,Intergenic,1.402039303
NONHSAT004825.2,NONHSAG002228.3,Intergenic,2.294165205
NONHSAT004826.2,NONHSAG002228.3,Intergenic,2.657324919
NONHSAT004827.2,NONHSAG002231.2,Intergenic,1.957133942
NONHSAT004828.2,NONHSAG002232.2,Intergenic,2.002203287
NONHSAT004836.2,NONHSAG002228.3,Intergenic,1.221726495
NONHSAT004903.2,NONHSAG002273.2,Intergenic,8.501763455
NONHSAT004926.2,NONHSAG002278.2,Intergenic,1.773179132
NONHSAT004964.2,NONHSAG002297.2,Intergenic,4.996008606
NONHSAT004981.2,NONHSAG002304.3,Intergenic,6.660825158
NONHSAT004986.2,NONHSAG002307.2,Intergenic,5.842269737
NONHSAT005013.2,NONHSAG002325.2,Intergenic,5.672991723
NONHSAT005045.2,NONHSAG002343.3,Intergenic,0.852016423
NONHSAT005048.2,NONHSAG002344.2,Intergenic,4.115899958
NONHSAT005108.2,NONHSAG002376.3,Intergenic,0.894154209
NONHSAT005109.2,NONHSAG002377.2,Intergenic,0.748783557
NONHSAT005111.2,NONHSAG002378.3,Intergenic,3.775396755
NONHSAT005112.2,NONHSAG002378.3,Intergenic,3.53629311
NONHSAT005119.2,NONHSAG002378.3,Intergenic,3.053987167
NONHSAT005151.2,NONHSAG002392.2,Intergenic,5.77423692
NONHSAT005180.2,NONHSAG002406.2,Intergenic,5.320474304
NONHSAT005194.2,NONHSAG002414.2,Intergenic,2.646571376
NONHSAT005289.2,NONHSAG002454.3,Intergenic,2.209369869
NONHSAT005290.2,NONHSAG002454.3,Intergenic,0.480907296
NONHSAT005297.2,NONHSAG002460.3,Intergenic,4.090703271
NONHSAT005298.2,NONHSAG002460.3,Intergenic,3.09920463
NONHSAT005302.2,NONHSAG002460.3,Intergenic,3.866767828
NONHSAT005306.2,NONHSAG002460.3,Intergenic,0.556124871
NONHSAT005312.2,NONHSAG002462.2,Intergenic,1.827294212
NONHSAT005347.2,NONHSAG002482.3,Intergenic,3.878819667
NONHSAT005432.2,NONHSAG002530.2,Intergenic,8.122091277
NONHSAT005448.2,NONHSAG058061.2,Intergenic,4.657597599
NONHSAT005472.2,NONHSAG002547.2,Intergenic,1.979680841
NONHSAT005478.2,NONHSAG002550.3,Intergenic,1.160507839
NONHSAT005499.2,NONHSAG002560.3,Intergenic,5.182081248
NONHSAT005517.2,NONHSAG002571.2,Intergenic,1.375898981
NONHSAT005531.2,NONHSAG002576.3,Intergenic,3.466053105
NONHSAT005569.2,NONHSAG002593.2,Intergenic,0.825322999
NONHSAT005570.2,NONHSAG002594.2,Intergenic,0.760270607
NONHSAT005590.2,NONHSAG002604.2,Intergenic,0.536008279
NONHSAT005599.2,NONHSAG002610.2,Intergenic,6.545190761
NONHSAT005619.2,NONHSAG002622.2,Intergenic,3.313027635
NONHSAT005624.2,NONHSAG002625.2,Intergenic,1.249272018
NONHSAT005646.2,NONHSAG002630.2,Intergenic,2.410556285
NONHSAT005650.2,NONHSAG002631.2,Intergenic,5.484182801
NONHSAT005655.2,NONHSAG002633.2,Intergenic,1.996300665
NONHSAT005656.2,NONHSAG002634.2,Intergenic,7.103158336
NONHSAT005658.2,NONHSAG002635.3,Intergenic,8.250402653
NONHSAT005659.2,NONHSAG002636.2,Intergenic,5.470029486
NONHSAT005660.2,NONHSAG002636.2,Intergenic,3.24286645
NONHSAT005661.2,NONHSAG002635.3,Intergenic,6.473000584
NONHSAT005662.2,NONHSAG002637.2,Intergenic,1.839807924
NONHSAT005663.2,NONHSAG002638.2,Intergenic,1.747463795
NONHSAT005674.2,NONHSAG002628.2,Intergenic,1.629422443
NONHSAT005677.2,NONHSAG002641.2,Intergenic,11.45298866
NONHSAT005680.2,NONHSAG002643.2,Intergenic,2.786073554
NONHSAT005681.2,NONHSAG002641.2,Intergenic,0.714668955
NONHSAT005682.2,NONHSAG002641.2,Intergenic,3.127057836
NONHSAT005712.2,NONHSAG002652.2,Intergenic,1.801409521
NONHSAT005717.2,NONHSAG002653.2,Intergenic,3.34634399
NONHSAT005718.2,NONHSAG002653.2,Intergenic,4.375574338
NONHSAT005720.2,NONHSAG002653.2,Intergenic,1.575168526
NONHSAT005730.2,NONHSAG002651.3,Intergenic,1.4727328
NONHSAT005760.2,NONHSAG002604.2,Intergenic,3.122972058
NONHSAT005990.2,NONHSAG002721.2,Intergenic,2.903567486
NONHSAT005995.2,NONHSAG002724.2,Intergenic,17.35764731
NONHSAT006003.2,NONHSAG002728.3,Intergenic,3.54242904
NONHSAT006123.2,NONHSAG002775.2,Intergenic,1.990090256
NONHSAT006133.2,NONHSAG002782.2,Intergenic,26.24667613
NONHSAT006134.2,NONHSAG002782.2,Intergenic,2.947100909
NONHSAT006136.2,NONHSAG002782.2,Intergenic,5.367307989
NONHSAT006140.2,NONHSAG002783.2,Intergenic,1.50751054
NONHSAT006141.2,NONHSAG002784.2,Intergenic,2.508574186
NONHSAT006154.2,NONHSAG002793.3,Intergenic,2.696307339
NONHSAT006155.2,NONHSAG002793.3,Intergenic,5.483415201
NONHSAT006156.2,NONHSAG002793.3,Intergenic,3.117565535
NONHSAT006158.2,NONHSAG002793.3,Intergenic,0.718242255
NONHSAT006172.2,NONHSAG002800.3,Intergenic,8.945255166
NONHSAT006174.2,NONHSAG002800.3,Intergenic,9.719348711
NONHSAT006175.2,NONHSAG002800.3,Intergenic,3.67243093
NONHSAT006182.2,NONHSAG002801.3,Intergenic,2.787752162
NONHSAT006185.2,NONHSAG002804.2,Intergenic,3.666200413
NONHSAT006187.2,NONHSAG002804.2,Intergenic,11.45638728
NONHSAT006219.2,NONHSAG002812.3,Intergenic,3.271437519
NONHSAT006240.2,NONHSAG002816.2,Intergenic,1.558259999
NONHSAT006252.2,NONHSAG002825.2,Intergenic,5.784791827
NONHSAT006253.2,NONHSAG002826.2,Intergenic,5.898684035
NONHSAT006254.2,NONHSAG002827.2,Intergenic,4.179827625
NONHSAT006263.2,NONHSAG002831.2,Intergenic,2.100985056
NONHSAT006267.2,NONHSAG058121.2,Intergenic,5.245821513
NONHSAT006301.2,NONHSAG002854.2,Intergenic,2.738805944
NONHSAT006302.2,NONHSAG002855.2,Intergenic,3.462540052
NONHSAT006310.2,NONHSAG002861.3,Intergenic,5.359400859
NONHSAT006312.2,NONHSAG002862.2,Intergenic,1.577432338
NONHSAT006316.2,NONHSAG002864.2,Intergenic,3.201377525
NONHSAT006319.2,NONHSAG002866.3,Intergenic,19.57186535
NONHSAT006334.2,NONHSAG002877.3,Intergenic,1.203369846
NONHSAT006366.2,NONHSAG002896.2,Intergenic,2.51070003
NONHSAT006367.2,NONHSAG002897.3,Intergenic,4.467981737
NONHSAT006473.2,NONHSAG002949.3,Intergenic,2.406818122
NONHSAT006474.2,NONHSAG002949.3,Intergenic,6.914768739
NONHSAT006476.2,NONHSAG002949.3,Intergenic,1.267570654
NONHSAT006485.2,NONHSAG002949.3,Intergenic,2.639693884
NONHSAT006552.2,NONHSAG002988.3,Intergenic,1.174858967
NONHSAT006554.2,NONHSAG002988.3,Intergenic,6.332148993
NONHSAT006569.2,NONHSAG002997.3,Intergenic,0.536121913
NONHSAT006645.2,NONHSAG003031.3,Intergenic,4.92495464
NONHSAT006746.2,NONHSAG003076.2,Intergenic,2.850350973
NONHSAT006788.2,NONHSAG003094.3,Intergenic,1.051233944
NONHSAT006792.2,NONHSAG003094.3,Intergenic,3.542142157
NONHSAT006875.2,NONHSAG059492.2,Intergenic,3.074993748
NONHSAT006876.2,NONHSAG059492.2,Intergenic,2.30377973
NONHSAT006899.2,NONHSAG003129.3,Intergenic,0.856382464
NONHSAT006906.2,NONHSAG003134.2,Intergenic,5.734860261
NONHSAT007028.2,NONHSAG003195.2,Intergenic,0.861813547
NONHSAT007031.2,NONHSAG003198.3,Intergenic,16.52433218
NONHSAT007054.2,NONHSAG003211.3,Intergenic,3.301797079
NONHSAT007082.2,NONHSAG003229.2,Intergenic,2.302871365
NONHSAT007118.2,NONHSAG003243.2,Intergenic,2.130092293
NONHSAT007119.2,NONHSAG003243.2,Intergenic,4.504473697
NONHSAT007159.2,NONHSAG003261.2,Intergenic,4.453355975
NONHSAT007222.2,NONHSAG003289.3,Intergenic,2.809830391
NONHSAT007231.2,NONHSAG003294.2,Intergenic,1.904613309
NONHSAT007232.2,NONHSAG003295.2,Intergenic,3.111075783
NONHSAT007332.2,NONHSAG003344.2,Intergenic,5.198765547
NONHSAT007334.2,NONHSAG003346.3,Intergenic,0.855323638
NONHSAT007335.2,NONHSAG003346.3,Intergenic,3.776636532
