miRNA,have_motif,have_mean,no_motif,no_mean,D,p,fdr
hsa-miR-194-3p,1706,5.688318684,22185,6.436761704,0.058119416,4.50E-05,0.119395098
hsa-miR-5787,5220,5.912446167,18671,6.514962299,0.036120525,4.76E-05,0.126446467
hsa-miR-6887-3p,3373,5.918604304,20518,6.459712339,0.042838612,4.83E-05,0.128080102
hsa-miR-1249-5p,3976,5.949186084,19915,6.469990771,0.039990382,4.98E-05,0.132165158
hsa-miR-647,917,5.308046068,22974,6.42623626,0.077423732,5.13E-05,0.136033895
hsa-miR-6805-5p,2607,5.776211607,21284,6.457679309,0.047468463,5.70E-05,0.151147251
hsa-miR-4322,1519,5.811466652,22372,6.422144298,0.060546799,5.91E-05,0.156926029
hsa-miR-4757-5p,1996,5.680383534,21895,6.447398244,0.053238905,6.27E-05,0.16653211
hsa-miR-7106-5p,4040,5.986228525,19851,6.464131119,0.038992886,7.38E-05,0.195776204
hsa-miR-378d,552,5.601073083,23339,6.401818319,0.097275056,7.40E-05,0.196283906
hsa-miR-6783-3p,2593,5.811295553,21298,6.452959936,0.046941955,7.53E-05,0.199820508
hsa-miR-6760-5p,2951,5.73166129,20940,6.475152704,0.044314847,7.75E-05,0.205609875
hsa-miR-6837-5p,3255,5.869406476,20636,6.464378368,0.042391624,8.18E-05,0.216983114
hsa-miR-671-5p,2227,5.841588413,21664,6.439005386,0.049895672,8.59E-05,0.228096164
hsa-miR-4632-3p,708,5.377418926,23183,6.414036901,0.085509643,8.66E-05,0.229959394
hsa-miR-4265,1245,5.74348667,22646,6.418492854,0.065184628,8.82E-05,0.234152684
hsa-miR-5006-3p,991,5.744980411,22900,6.410941244,0.072618942,8.91E-05,0.236555086
hsa-miR-92b-5p,813,5.299917653,23078,6.421483535,0.079837968,8.98E-05,0.238204471
hsa-miR-4306,567,5.569951567,23324,6.403089845,0.094962853,9.23E-05,0.244955745
hsa-miR-6827-5p,2328,5.791033743,21563,6.447261676,0.048706894,9.36E-05,0.248472743
hsa-miR-134-3p,1471,5.795563296,22420,6.421880307,0.060075677,9.41E-05,0.249772869
hsa-miR-521,60,9.165577401,23831,6.376312175,0.287207139,0.000103024,0.273426286
hsa-miR-4688,3100,5.930544857,20791,6.450826849,0.04277091,0.000103376,0.274359645
hsa-miR-5088-5p,1884,5.717098987,22007,6.440351506,0.053324111,0.000103482,0.274640806
hsa-miR-608,4272,5.841903688,19619,6.501208906,0.037402045,0.000109242,0.289927574
hsa-miR-6797-5p,4006,5.981797001,19885,6.464206754,0.03836045,0.000109476,0.290549906
hsa-miR-6721-5p,4668,6.018209718,19223,6.471977689,0.036091987,0.000112558,0.298728591
hsa-miR-6165,2263,5.837614531,21628,6.440415591,0.04872822,0.000119092,0.316069275
hsa-miR-346,948,5.719351916,22943,6.410752058,0.072933086,0.000124409,0.330181218
hsa-miR-3677-3p,442,5.085834705,23449,6.407773941,0.105547439,0.000126832,0.336611279
hsa-miR-4739,4735,5.941414858,19156,6.492547021,0.035644317,0.000129213,0.342931378
hsa-miR-6129,2004,5.673555197,21887,6.448303809,0.051153233,0.0001344,0.356696318
hsa-miR-1913,3102,5.907732846,20789,6.454280764,0.0421172,0.00013873,0.368188684
hsa-miR-3155b,1791,5.640713283,22100,6.443498307,0.053718239,0.000140771,0.373606411
hsa-miR-6510-5p,2738,5.762319797,21153,6.463697749,0.044320127,0.000146206,0.388030252
hsa-miR-4745-5p,2399,5.806135402,21492,6.44774387,0.046901405,0.000150522,0.399484154
hsa-miR-3085-3p,2023,5.604455807,21868,6.455369306,0.05062128,0.000151206,0.401300843
hsa-miR-6753-5p,2017,5.671751013,21874,6.448930616,0.050678336,0.000151843,0.402991145
hsa-miR-765,2784,5.762233915,21107,6.46523764,0.043801622,0.000159307,0.422801776
hsa-miR-4472,2719,5.875325162,21172,6.448555685,0.044246577,0.000159812,0.42414217
hsa-miR-6744-3p,2031,5.726887647,21860,6.444305639,0.050277807,0.000166236,0.441189373
hsa-miR-6825-5p,4857,5.981098299,19034,6.485953328,0.034765016,0.000173306,0.459954517
hsa-miR-6813-5p,3061,5.898358479,20830,6.454582563,0.041860095,0.000173418,0.46025206
hsa-miR-6737-5p,2932,5.755350949,20959,6.471164707,0.042594106,0.000176883,0.469446737
hsa-miR-139-3p,684,5.562682383,23207,6.407504431,0.083775262,0.000178129,0.472754557
hsa-miR-6812-5p,2979,5.76420041,20912,6.471512866,0.042282701,0.00017857,0.473925153
hsa-miR-4518,2673,5.801857083,21218,6.456568296,0.04428829,0.000180536,0.479142518
hsa-miR-1972,3097,5.907934171,20794,6.454119359,0.041538149,0.000182511,0.484384351
hsa-miR-3934-3p,2029,5.758910615,21862,6.441267974,0.049914809,0.000191877,0.509241053
hsa-miR-4313,1520,5.757937438,22371,6.425808644,0.057004134,0.000192241,0.510208249
hsa-miR-6764-5p,4322,6.00179348,19569,6.467580288,0.036031441,0.000203692,0.540598593
hsa-miR-11181-3p,3335,5.891287862,20556,6.463143854,0.039965656,0.000208961,0.554582569
hsa-miR-6842-5p,2777,5.716786367,21114,6.470982019,0.04317845,0.000212193,0.56316099
hsa-miR-6799-3p,2281,5.820869792,21610,6.44268515,0.047017847,0.000218421,0.579689063
hsa-miR-378e,746,5.631630015,23145,6.407545219,0.079435683,0.00021878,0.580642619
hsa-miR-218-1-3p,405,5.056379319,23486,6.406199287,0.106993922,0.000219908,0.583636756
hsa-miR-6769b-3p,1325,5.504950914,22566,6.434891878,0.060319566,0.00022174,0.588498616
hsa-miR-326,1603,5.664991261,22288,6.434980666,0.055103771,0.000227476,0.603722161
hsa-miR-3127-3p,2604,5.859476747,21287,6.447397596,0.044109283,0.000239907,0.636713192
hsa-miR-6809-5p,876,5.519487792,23015,6.41619634,0.073002568,0.000248129,0.658535517
hsa-miR-6801-3p,2355,5.872256767,21536,6.439202517,0.046016111,0.00024924,0.661481662
hsa-miR-6819-5p,3093,5.76898767,20798,6.474677912,0.040763638,0.000259902,0.689781171
hsa-miR-5088-3p,1860,5.638337389,22031,6.446213179,0.050804512,0.000285573,0.757910523
hsa-miR-3198,1105,5.586404131,22786,6.421963202,0.064812402,0.000285603,0.757989549
hsa-miR-4469,3246,5.958316815,20645,6.45013968,0.039646612,0.000296081,0.785800084
hsa-miR-7109-5p,2318,5.933852692,21573,6.431611716,0.045566997,0.000335843,0.891326554
hsa-miR-6743-5p,3055,5.910763193,20836,6.452603596,0.040376988,0.000337401,0.895462721
hsa-miR-4651,4194,5.858770961,19697,6.495006583,0.03539766,0.000345007,0.915647627
hsa-miR-3972,1731,5.811238026,22160,6.42800438,0.051938843,0.000345877,0.917956657
hsa-miR-378a-3p,1053,5.634960194,22838,6.41782192,0.065533844,0.00035167,0.93333332
hsa-miR-6781-3p,836,5.603325554,23055,6.411600517,0.073184573,0.000353124,0.9371908
hsa-miR-4481,1725,5.728729575,22166,6.434258394,0.051876709,0.000363006,0.963417093
hsa-let-7a-2-3p,278,5.559214832,23613,6.393019454,0.10842034,0.003130493,1
hsa-let-7a-3p,22,6.248657487,23869,6.383441268,0.216909342,0.25229575,1
hsa-let-7a-5p,374,5.434415029,23517,6.398407912,0.09083894,0.004596268,1
hsa-let-7b-3p,25,8.086837994,23866,6.381532688,0.2895701,0.030348406,1
hsa-let-7b-5p,820,5.825223982,23071,6.403153154,0.03260867,0.368890763,1
hsa-let-7c-3p,72,6.243568863,23819,6.383739583,0.083126332,0.704087753,1
hsa-let-7c-5p,664,5.728310225,23227,6.40204211,0.041887012,0.207376489,1
hsa-let-7d-3p,10,7.352042063,23881,6.382911505,0,1,1
hsa-let-7d-5p,418,5.472523387,23473,6.399536289,0.090436289,0.002418431,1
hsa-let-7e-3p,8,4.122081646,23883,6.38407459,0,1,1
hsa-let-7e-5p,851,5.6610494,23040,6.409994663,0.060470117,0.004948055,1
hsa-let-7f-1-3p,24,7.01335321,23867,6.382683605,0.237679991,0.133183183,1
hsa-let-7f-2-3p,64,6.058719234,23827,6.384189031,0.076332128,0.850993328,1
hsa-let-7f-5p,163,5.851815354,23728,6.386968315,0.050910834,0.795465954,1
hsa-let-7g-3p,398,6.302830388,23493,6.384680696,0.048114086,0.325239128,1
hsa-let-7g-5p,296,5.73526731,23595,6.391446957,0.055021964,0.33898362,1
hsa-let-7i-3p,51,4.878138594,23840,6.386537123,0.156658771,0.164417437,1
hsa-let-7i-5p,459,5.786212391,23432,6.395013597,0.052494271,0.167207004,1
hsa-miR-100-3p,71,6.129720463,23820,6.384073045,0.069966651,0.878916331,1
hsa-miR-100-5p,58,6.94398832,23833,6.381952703,0.08533951,0.793348357,1
hsa-miR-101-2-5p,16,5.809808583,23875,6.383701493,0.190887435,0.604839108,1
hsa-miR-101-3p,122,5.832945118,23769,6.386142066,0.059800994,0.778202754,1
hsa-miR-101-5p,80,6.454033485,23811,6.38307956,0.107465037,0.315874896,1
hsa-miR-10226,596,5.729183842,23295,6.400053081,0.037633303,0.382851584,1
hsa-miR-10392-3p,1134,5.896453235,22757,6.407577981,0.043515033,0.033453392,1
hsa-miR-10392-5p,68,5.093434196,23823,6.386998974,0.124024978,0.247884152,1
hsa-miR-10393-3p,234,6.094391246,23657,6.386175023,0.067928612,0.235314935,1
hsa-miR-10393-5p,76,5.378058561,23815,6.3865252,0.08930738,0.581436356,1
hsa-miR-10394-3p,453,5.596816085,23438,6.39851832,0.054579674,0.141571014,1
hsa-miR-10394-5p,3176,6.138751592,20715,6.420813663,0.020182308,0.211945216,1
hsa-miR-10395-3p,15,5.192373157,23876,6.384065358,0.118448093,0.984507485,1
hsa-miR-10395-5p,95,6.000638317,23796,6.384844908,0.072132866,0.70846168,1
hsa-miR-10396a-3p,1074,6.067125652,22817,6.398200339,0.053825152,0.005246618,1
hsa-miR-10396a-5p,1216,5.742022016,22675,6.417708106,0.053537472,0.002677683,1
hsa-miR-10396b-3p,1043,6.08674006,22848,6.396855751,0.051940869,0.009196901,1
hsa-miR-10396b-5p,2024,5.742835651,21867,6.442599841,0.045361298,0.000977451,1
hsa-miR-10397-3p,138,5.995731103,23753,6.385568947,0.112864462,0.060666269,1
hsa-miR-10397-5p,705,6.115383561,23186,6.391464016,0.056572718,0.025063153,1
hsa-miR-10398-3p,789,5.884852335,23102,6.400341165,0.052543254,0.02961383,1
hsa-miR-10398-5p,1744,5.896977272,22147,6.421614743,0.027130645,0.184954093,1
hsa-miR-10399-3p,124,5.264717072,23767,6.389153245,0.095928619,0.206329598,1
hsa-miR-10399-5p,55,5.784553114,23836,6.384698761,0.174384811,0.071054813,1
hsa-miR-103a-1-5p,436,5.878562987,23455,6.39269992,0.043092668,0.404501087,1
hsa-miR-103a-2-5p,260,5.640179573,23631,6.391493521,0.089743427,0.03176791,1
hsa-miR-103a-3p,783,6.49097648,23108,6.379669184,0.023462155,0.798681471,1
hsa-miR-103b,303,6.303147417,23588,6.384346974,0.035495757,0.845303495,1
hsa-miR-10400-3p,2424,5.853268167,21467,6.443168959,0.0355814,0.008051836,1
hsa-miR-10400-5p,431,5.908742068,23460,6.392035902,0.043239715,0.407328056,1
hsa-miR-10401-3p,470,6.40061056,23421,6.382970117,0.022273155,0.976256097,1
hsa-miR-10401-5p,1706,5.931796513,22185,6.41803855,0.035227165,0.039217072,1
hsa-miR-10522-5p,132,6.18690709,23759,6.384408365,0.102420837,0.127304009,1
hsa-miR-10523-5p,422,6.792944786,23469,6.375951569,0.038135514,0.582881268,1
hsa-miR-10524-5p,252,5.904612476,23639,6.388420311,0.041411086,0.785940755,1
hsa-miR-10525-3p,61,6.178881349,23830,6.383840467,0.099805315,0.579470829,1
hsa-miR-10526-3p,1887,6.073411768,22004,6.40989375,0.028890373,0.109897814,1
hsa-miR-10527-5p,277,6.537256252,23614,6.381511396,0.053754137,0.407469436,1
hsa-miR-105-3p,71,6.245682596,23820,6.383727398,0.095678268,0.53602837,1
hsa-miR-105-5p,514,6.033184211,23377,6.391015673,0.041750771,0.34458391,1
hsa-miR-106a-3p,117,4.57549356,23774,6.392214071,0.172131949,0.002016927,1
hsa-miR-106a-5p,1584,6.518937825,22307,6.37368685,0.024392822,0.342341896,1
hsa-miR-106b-3p,300,6.010351997,23591,6.388060043,0.053883402,0.356020938,1
hsa-miR-106b-5p,1527,6.49749851,22364,6.37552092,0.027471822,0.230860775,1
hsa-miR-107,756,6.378471566,23135,6.383475495,0.036435095,0.285536993,1
hsa-miR-10a-3p,13,6.424661171,23878,6.383294643,0.183416341,0.774564343,1
hsa-miR-10a-5p,530,6.160454474,23361,6.388373323,0.033037969,0.623620482,1
hsa-miR-10b-3p,318,6.233895344,23573,6.385332854,0.046434373,0.507983991,1
hsa-miR-10b-5p,420,6.241954374,23471,6.385846757,0.030368682,0.841176964,1
hsa-miR-11181-5p,543,5.857835183,23348,6.395538186,0.054977203,0.08088374,1
hsa-miR-11399,844,5.57706194,23047,6.412842878,0.049062888,0.039691673,1
hsa-miR-11400,287,6.007730387,23604,6.387883895,0.06973291,0.12684928,1
hsa-miR-11401,293,5.278183279,23598,6.397038833,0.085608574,0.028756867,1
hsa-miR-1178-3p,558,6.11104471,23333,6.389828446,0.042008127,0.291335252,1
hsa-miR-1178-5p,792,5.832325929,23099,6.402209098,0.043944904,0.103878225,1
hsa-miR-1179,116,5.305156109,23775,6.38857758,0.099446318,0.203690561,1
hsa-miR-1180-3p,224,6.192870862,23667,6.385119661,0.062147452,0.358156539,1
hsa-miR-1180-5p,1122,6.312729949,22769,6.386795515,0.029843795,0.296756573,1
hsa-miR-1181,73,5.900063097,23818,6.384798282,0.081673582,0.716634485,1
hsa-miR-1182,1278,5.976119359,22613,6.406330409,0.038929682,0.051133008,1
hsa-miR-1183,1038,6.547146373,22853,6.375875909,0.036736849,0.137077676,1
hsa-miR-1184,2149,5.90318207,21742,6.430774161,0.045316605,0.000649524,1
hsa-miR-1185-1-3p,183,5.347726466,23708,6.391310787,0.077577051,0.224458987,1
hsa-miR-1185-2-3p,217,5.754487235,23674,6.389081116,0.067522013,0.280756782,1
hsa-miR-1185-5p,23,5.698267719,23868,6.383977289,0.183955596,0.418352579,1
hsa-miR-1193,1001,5.864589549,22890,6.40600157,0.041233995,0.07667525,1
hsa-miR-1197,618,6.204951242,23273,6.388053548,0.028415291,0.71589665,1
hsa-miR-1199-3p,353,5.89398404,23538,6.390655694,0.065316117,0.102856543,1
hsa-miR-1199-5p,1800,5.998926531,22091,6.414637741,0.030167615,0.096672365,1
hsa-miR-1200,1463,6.118713676,22428,6.400577491,0.025057963,0.354430527,1
hsa-miR-1202,1823,5.905094853,22068,6.422822284,0.044616495,0.002451912,1
hsa-miR-1203,488,5.576421113,23403,6.400142571,0.059429119,0.06832092,1
hsa-miR-1204,607,6.142452936,23284,6.389596339,0.057336217,0.040908505,1
hsa-miR-1205,1995,5.906898267,21896,6.426724883,0.03518547,0.021621694,1
hsa-miR-1206,24,6.234372367,23867,6.383466927,0.12151192,0.87085229,1
hsa-miR-1207-3p,703,6.063011838,23188,6.393027978,0.028549679,0.634325183,1
hsa-miR-1208,400,6.150071407,23491,6.387288814,0.036561768,0.669166703,1
hsa-miR-12113,448,5.939962774,23443,6.391789735,0.042787959,0.396723827,1
hsa-miR-12114,2091,6.269469783,21800,6.394237099,0.019810876,0.442305059,1
hsa-miR-12115,2049,5.924520038,21842,6.426356951,0.032805214,0.035479001,1
hsa-miR-12116,186,4.875933947,23705,6.395144753,0.141639507,0.001216568,1
hsa-miR-12117,248,5.569803923,23643,6.391850387,0.059971716,0.340531602,1
hsa-miR-12118,1855,5.709689258,22036,6.440023439,0.048752299,0.000587242,1
hsa-miR-12119,2565,5.980562687,21326,6.431758735,0.03258686,0.015459167,1
hsa-miR-12120,1527,6.344257136,22364,6.385984146,0.040389076,0.018866751,1
hsa-miR-12121,549,5.985878347,23342,6.392664847,0.037679135,0.431583501,1
hsa-miR-12122,1525,5.975271397,22366,6.411139283,0.030823425,0.132664553,1
hsa-miR-12123,9,4.216582401,23882,6.384133692,0,1,1
hsa-miR-12124,355,5.947993422,23536,6.38988326,0.041379822,0.587226524,1
hsa-miR-12125,788,6.369293746,23103,6.383795464,0.020933731,0.892164898,1
hsa-miR-12126,696,5.911449867,23195,6.397476222,0.029430639,0.601915682,1
hsa-miR-12127,1189,6.104836154,22702,6.397902383,0.036915604,0.091967681,1
hsa-miR-12128,2275,5.984155954,21616,6.425327317,0.026054063,0.122263561,1
hsa-miR-12129,211,6.433049066,23680,6.382874017,0.058525202,0.47085823,1
hsa-miR-12130,26,4.304064554,23865,6.385582418,0.25604764,0.066382635,1
hsa-miR-12131,340,6.24550164,23551,6.385306761,0.041065697,0.624126379,1
hsa-miR-12132,22,4.886458755,23869,6.384696803,0.181406846,0.464588389,1
hsa-miR-12133,126,5.356814095,23765,6.388759584,0.096313439,0.195326826,1
hsa-miR-12135,1,2.975389652,23890,6.383459803,0,1,1
hsa-miR-12136,37,7.643709998,23854,6.381362154,0.132234607,0.538088079,1
hsa-miR-122-3p,17,6.810463889,23874,6.383012993,0.180479379,0.637492844,1
hsa-miR-1224-3p,2775,5.971812985,21116,6.437395769,0.030667015,0.019837703,1
hsa-miR-1224-5p,1204,5.918290338,22687,6.407996144,0.040981363,0.04297127,1
hsa-miR-1225-5p,907,5.96511675,22984,6.399820275,0.039375889,0.133599139,1
hsa-miR-122-5p,579,6.204179939,23312,6.387766382,0.039067473,0.354482636,1
hsa-miR-1226-3p,1567,6.193802348,22324,6.396619862,0.027259647,0.226636756,1
hsa-miR-1226-5p,2204,5.841875945,21687,6.438342578,0.040102704,0.003208556,1
hsa-miR-1227-3p,786,6.149433292,23105,6.391273556,0.031573197,0.434732878,1
hsa-miR-1227-5p,2400,5.999594587,21491,6.426169237,0.036276154,0.006813049,1
hsa-miR-1228-3p,1427,6.173833738,22464,6.396624347,0.013324223,0.971067808,1
hsa-miR-1228-5p,1044,5.806521577,22847,6.409673986,0.04770582,0.021254953,1
hsa-miR-1229-3p,944,6.083020043,22947,6.395670857,0.032400011,0.297087256,1
hsa-miR-1229-5p,1297,6.301320942,22594,6.388024113,0.027610649,0.307084147,1
hsa-miR-122b-3p,261,6.594186522,23630,6.380988041,0.064306689,0.236081684,1
hsa-miR-122b-5p,70,5.050579682,23821,6.387233513,0.163620335,0.047648187,1
hsa-miR-1231,1119,5.841841564,22772,6.40992488,0.050093776,0.009468178,1
hsa-miR-1233-3p,1124,5.673722362,22767,6.418349635,0.047799486,0.014974302,1
hsa-miR-1233-5p,3123,5.887206543,20768,6.457920072,0.033209143,0.005017638,1
hsa-miR-1234-3p,461,6.056339532,23430,6.389750643,0.037003563,0.565764903,1
hsa-miR-1236-3p,1655,5.899787444,22236,6.419305714,0.038174072,0.022454954,1
hsa-miR-1236-5p,690,5.953226425,23201,6.396108092,0.052974478,0.046527802,1
hsa-miR-1237-3p,991,6.304532294,22900,6.386726575,0.017800863,0.924187439,1
hsa-miR-1237-5p,1158,5.910973937,22733,6.40737792,0.036084244,0.113441376,1
hsa-miR-1238-3p,214,5.818350224,23677,6.388423497,0.059370089,0.443398738,1
hsa-miR-1238-5p,1193,6.156838287,22698,6.395220813,0.024655676,0.496084452,1
hsa-miR-1243,121,6.967556271,23770,6.380343112,0.140845638,0.016853227,1
hsa-miR-124-3p,914,6.188603504,22977,6.391062649,0.024660709,0.658942312,1
hsa-miR-1244,206,6.072721546,23685,6.386018554,0.049483615,0.699293693,1
hsa-miR-1245a,247,6.742421088,23644,6.379565728,0.067394421,0.216820109,1
hsa-miR-1245b-3p,307,6.578766186,23584,6.380772933,0.077060609,0.054685349,1
hsa-miR-1245b-5p,119,6.61729516,23772,6.382145884,0.063658679,0.723346725,1
hsa-miR-124-5p,162,6.044660446,23729,6.385629192,0.087421809,0.170865138,1
hsa-miR-1246,30,6.26882442,23861,6.383461102,0.132690723,0.667089698,1
hsa-miR-1247-3p,1393,5.861544723,22498,6.415623535,0.035311905,0.075902739,1
hsa-miR-1247-5p,605,5.821826363,23286,6.397905399,0.058357698,0.036033454,1
hsa-miR-1248,490,5.739237048,23401,6.396803723,0.059761182,0.064889195,1
hsa-miR-1249-3p,153,5.511979047,23738,6.388933242,0.088896103,0.180815565,1
hsa-miR-1250-3p,62,6.760595997,23829,6.382335521,0.098350614,0.587947979,1
hsa-miR-1250-5p,339,5.73641741,23552,6.392628421,0.06248259,0.147098248,1
hsa-miR-1251-3p,208,5.322620272,23683,6.392632904,0.094275064,0.051200823,1
hsa-miR-1251-5p,362,5.710731331,23529,6.393665066,0.047098925,0.40767048,1
hsa-miR-1252-3p,22,7.590103243,23869,6.38220486,0.14301357,0.759638981,1
hsa-miR-1252-5p,44,5.141688415,23847,6.385608076,0.165277127,0.18140407,1
hsa-miR-1253,378,5.807293718,23513,6.392577428,0.038532664,0.638606016,1
hsa-miR-1255a,161,6.03390631,23730,6.385687786,0.138291284,0.00441196,1
hsa-miR-1255b-2-3p,181,7.373507222,23710,6.375758131,0.079746756,0.203391527,1
hsa-miR-1255b-5p,169,5.414647767,23722,6.390218135,0.095635141,0.092878756,1
hsa-miR-1256,97,6.208124897,23794,6.384031351,0.083144066,0.516412682,1
hsa-miR-1257,214,6.459740461,23677,6.382626415,0.061130345,0.406340905,1
hsa-miR-1258,211,5.569384225,23680,6.390569679,0.075348645,0.185932918,1
hsa-miR-125a-3p,2180,6.162729847,21711,6.405466308,0.021347865,0.327277777,1
hsa-miR-125a-5p,1687,6.097354439,22204,6.405043827,0.02767809,0.180897877,1
hsa-miR-125b-1-3p,101,6.466263035,23790,6.382965007,0.062300909,0.829855246,1
hsa-miR-125b-2-3p,513,6.289537433,23378,6.385375027,0.056898849,0.077518378,1
hsa-miR-125b-5p,1309,5.940579695,22582,6.408981103,0.038460427,0.051444704,1
hsa-miR-1260a,1872,5.826483876,22019,6.430657717,0.044295855,0.00229408,1
hsa-miR-1260b,1714,5.930425643,22177,6.418319905,0.041752104,0.007797493,1
hsa-miR-1261,46,6.244449073,23845,6.383585046,0.095226417,0.799353347,1
hsa-miR-1262,352,6.215488359,23539,6.385826848,0.048356282,0.391994229,1
hsa-miR-1263,291,5.90283246,23600,6.389241773,0.080032908,0.050321281,1
hsa-miR-126-3p,12,7.432837376,23879,6.382789733,0.186443458,0.798645256,1
