transcript_id,exon
NM_001293197,7
NM_001308195,10
NM_001305115,4
NM_001308305,9
NM_001304794,3
NM_001304364,2
NM_001130049,33
NM_001134367,23
NM_001290230,5
NM_001304523,18
NM_001303269,26
NM_001308251,8
NM_001292030,9
NM_001291622,6
NM_001308191,8
NM_001301228,5
NM_001290223,52
NM_198988,1
NM_001305141,6
NM_001308287,8
NM_001307978,5
NM_001304494,3
NM_001306079,43
NM_001301140,6
NM_001290076,7
NM_001300972,12
NM_001302489,11
NM_032360,8
NM_002691,27
NM_001256849,27
NM_178518,3
NM_031361,17
NM_001282418,34
NM_022918,15
NM_001168724,14
NM_004448,27
NM_001005862,30
NM_175629,23
NM_001289938,18
NM_001289936,31
NM_020394,4
NM_001042750,35
NM_138957,8
NM_001204221,6
NM_032882,2
NM_001171991,7
NM_004029,10
NM_005333,7
NM_001572,11
NM_001122608,7
NM_015401,26
NM_001098416,25
NM_001308090,25
NM_002061,7
NM_001308253,6
NM_001256299,15
NM_001127696,10
NM_001282385,7
NM_001278665,4
NM_005413,2
NM_004171,11
NM_001171660,9
NM_001278664,3
NM_003017,6
NM_032164,3
NM_033239,8
NM_000022,12
NM_001020820,3
NM_001278678,2
NM_001243228,20
NM_001040084,12
NM_000248,9
NM_001040458,19
NM_152298,14
NM_015979,31
NM_002675,8
NM_005612,4
NM_001134663,4
NM_006722,10
NM_001040424,24
NM_001286563,21
NM_004993,11
NM_001173454,12
NM_006769,5
NM_001193508,4
NM_203282,4
NM_001160138,23
NM_001144831,9
NM_016252,74
NM_001127500,21
NM_197960,21
NM_001184967,10
NM_023035,47
NM_001020819,3
NM_001243230,19
NM_015931,12
NM_001645,4
NM_033240,7
NM_001033081,2
NM_001164780,8
NM_001300900,3
NM_001290188,3
NM_001303,7
NM_003199,20
NM_005338,31
NM_015097,39
NM_001297623,5
NM_001243234,13
NM_001301169,6
NM_012295,37
NM_001048230,3
NM_033093,8
NM_138356,8
NM_001015878,7
NM_004753,6
NM_001033082,3
NM_001011645,8
NM_138373,3
NM_001001390,12
NM_001278675,8
NM_001243232,16
NM_001243227,19
NM_001077180,5
NM_001083962,20
NM_172387,10
NM_001127697,9
NM_030660,10
NM_021975,11
NM_001001389,17
NM_001006941,9
NM_198177,10
NM_153257,6
NM_172390,8
NM_001320,7
NM_001202470,9
NM_020975,20
NM_002301,8
NM_001290192,3
NM_001243235,13
NM_001301170,4
NM_005376,2
NM_000674,4
NM_002586,9
NM_001129819,9
NM_198159,10
NM_000044,8
NM_001173455,11
NM_001290189,3
NM_000088,51
NM_001271702,12
NM_001301168,6
NM_000347,31
NM_003200,19
NM_001020818,2
NM_001162422,4
NM_001282934,25
NM_033250,7
NM_001134664,4
NM_004417,4
NM_001024858,35
NM_022115,31
NM_004230,2
NM_033092,7
NM_001163286,16
NM_005293,2
NM_001267700,8
NM_020485,10
NM_019093,5
NM_001270521,30
NM_001278669,10
NM_000334,24
NM_001243198,29
NM_001039706,23
NM_001195193,13
NM_033034,8
NM_001202555,10
NM_000284,11
NM_033244,8
NM_001184968,3
NM_004827,16
NM_033238,9
NM_023936,3
NM_020630,19
NM_016449,12
NM_001164779,7
NM_005238,8
NM_001001392,4
NM_033249,7
NM_001278661,5
NM_197961,20
NM_194279,4
NM_015604,14
NM_001957,8
NM_001272007,3
NM_001164410,11
NM_001697,7
NM_001142352,6
NM_001258299,17
NM_001309242,63
NM_022110,2
NM_017612,14
NM_016203,16
NM_001143678,12
NM_024429,12
NM_005627,12
NM_001143676,14
NM_001304527,14
NM_000967,10
NM_001256442,3
NM_001291543,5
NM_001256443,2
NM_005087,17
NM_001013439,18
NM_006839,15
NM_001100170,15
NM_016263,14
NM_001256264,30
NM_001297764,20
NM_001303416,15
NM_001184939,17
NM_020909,25
NM_153676,27
NM_001256265,29
NM_001130867,12
NM_018941,3
NM_005709,21
NM_016434,35
NM_021232,11
NM_001303418,15
NM_001283009,35
NM_032957,35
NM_001184938,17
NM_000400,23
NM_001026383,18
NM_014020,7
NM_002018,30
NM_194318,15
NM_138701,2
NM_023078,6
NM_001258205,18
NM_016138,6
NM_001190983,6
NM_001958,8
NM_001242848,4
NM_012396,2
NM_001309474,10
NM_001308632,26
NM_001309443,10
NM_003118,10
NM_014344,1
NM_032492,2
NM_032511,6
NM_145204,2
NM_001282657,15
NM_001282656,16
NM_003442,16
NM_001238,12
NM_019105,18
NM_001098511,21
NM_001278182,6
NM_004501,14
NM_004370,66
NM_002079,9
NM_021072,8
NM_031844,14
NM_001039958,2
NM_001145549,10
NM_005360,2
NM_001256164,7
NM_001256165,7
NM_002143,4
NM_019026,7
NM_001080514,2
NM_030810,10
NM_001031804,1
NM_181714,9
NM_001256488,21
NM_001291420,8
NM_005895,24
NM_001122769,8
NM_001142301,29
NM_032142,45
NM_005113,13
NM_001270641,4
NM_153704,28
NM_001199818,7
NM_152505,10
NM_198181,9
NM_138334,5
NM_001256487,22
NM_001270640,5
NM_002078,24
NM_004486,26
NM_003666,8
NM_001270639,5
NM_001256486,22
NM_001172557,16
NM_153234,6
NM_001033551,14
NM_001288786,15
NM_001135732,15
NM_153713,6
NM_001082968,15
NM_001288787,14
NM_001270686,5
NM_005488,15
NM_003728,16
NM_018671,20
NM_001205028,14
NM_012118,3
NM_022092,22
NM_001039675,23
NM_017440,14
NM_001279352,5
NM_019891,16
NM_001304829,16
NM_003724,3
NM_194292,17
NM_007373,9
NM_020128,3
NM_170744,17
NM_005148,5
NM_001244889,16
NM_001080533,5
NM_001077527,4
NM_133369,15
NM_025147,5
NM_001269039,7
NM_014584,16
NM_145178,1
NM_173561,9
NM_001039690,4
NM_016592,13
NM_001309883,6
NM_001287005,6
NM_002439,24
NM_001172220,14
NM_001291964,33
NM_001195630,4
NM_001270975,10
NM_001271634,9
NM_001271635,8
NM_080911,7
NM_001195626,22
NM_014761,10
NM_001135746,5
NM_000754,6
NM_133341,16
NM_133340,16
NM_001282150,6
NM_001256552,10
NM_001172219,15
NM_001043353,8
NM_001136566,14
NM_001043352,8
NM_001172221,15
NM_001040000,30
NM_002873,17
NM_001276273,7
NM_001135748,5
NM_152263,10
NM_018206,17
NM_016226,4
NM_199076,7
NM_005934,12
NM_001195627,5
NM_001301226,9
NM_012236,15
NM_145043,5
NM_024608,10
NM_006744,6
NM_001135747,4
NM_001270978,7
NM_004369,44
NM_014911,22
NM_001031694,16
NM_001286535,11
NM_133342,18
NM_001243224,8
NM_133338,19
NM_004584,11
NM_003211,10
NM_199077,2
NM_001135161,6
NM_005444,8
NM_001276270,8
NM_018248,10
NM_000682,1
NM_001278189,9
NM_001282151,3
NM_148959,1
NM_017649,8
NM_001135162,6
NM_001286533,12
NM_001278622,18
NM_006265,14
NM_001172218,16
NM_003362,6
NM_133344,17
NM_001043351,8
NM_003925,8
NM_001278188,7
NM_001282470,20
NM_006978,1
NM_001270977,9
NM_002853,6
NM_001278191,8
NM_001276272,8
NM_001301227,9
NM_001270976,11
NM_016068,5
NM_015949,9
NM_144981,7
NM_006107,11
NM_016424,10
NM_001039650,6
NM_001142684,8
NM_138775,12
NM_001145169,13
NM_001146334,8
NM_001303626,6
NM_022372,9
NM_012302,20
NM_001258038,3
NM_198867,7
NM_032787,16
NM_001256252,20
NM_001199175,9
NM_153839,11
NM_001145845,29
NM_001083909,7
NM_152513,31
NM_001127496,2
NM_022370,28
NM_001243564,8
NM_139178,10
NM_205861,9
NM_001301010,12
NM_003061,37
NM_144703,9
NM_006013,7
NM_198827,25
NM_032878,7
NM_004946,52
NM_001297701,8
NM_001243565,8
NM_138395,1
NM_001294335,33
NM_032117,8
NM_002941,31
NM_005840,2
NM_001256577,6
NM_138459,5
NM_001307952,6
NM_133631,29
NM_001199174,9
NM_144618,9
NM_033026,25
NM_014510,20
NM_014611,102
NM_001303624,6
NM_001258039,2
NM_032306,4
NM_001253861,7
NM_001271946,36
NM_001293289,3
NM_178232,5
NM_012240,4
NM_001256580,6
NM_001297705,22
NM_001271052,19
NM_001294336,32
NM_001303625,7
NM_001199173,9
NM_005045,65
NM_021220,4
NM_001146698,25
NM_001292048,6
NM_002973,25
NM_001258326,31
NM_001146699,25
NM_001114403,6
NM_001258325,31
NM_001258327,31
NM_004162,6
NM_016196,24
NM_001007467,33
NM_001308398,9
NM_001308049,12
NM_001257137,26
NM_031483,25
NM_024864,5
NM_001257138,24
NM_003900,8
NM_006890,5
NM_001291485,5
NM_001113402,7
NM_001276380,14
NM_022362,31
NM_001286430,10
NM_001284301,23
NM_018013,7
NM_001159736,10
NM_032725,10
NM_017921,17
NM_001039589,5
NM_016565,2
NM_001204090,3
NM_138792,12
NM_012291,31
NM_001278412,9
NM_032377,4
NM_001139499,5
NM_001289405,32
NM_001384,6
NM_016468,4
NM_032314,7
NM_001289404,30
NM_017748,10
NM_001278411,7
NM_181581,8
NM_001017975,39
NM_020175,13
NM_015622,15
NM_001289403,30
NM_018685,24
NM_001270419,8
NM_178507,4
NM_015658,19
NM_007080,4
NM_022156,14
NM_001258393,15
NM_001282724,5
NM_001283148,9
NM_001282722,5
NM_152906,9
NM_206808,9
NM_001282719,6
NM_173090,10
NM_001282723,6
NM_001282721,6
NM_014062,9
NM_001283179,7
NM_001243247,15
NM_006545,11
NM_021925,7
NM_031208,1
NM_001291527,5
NM_024562,18
NM_001142398,2
NM_001258392,16
NM_138417,1
NM_001077350,14
NM_014953,21
NM_001283186,7
NM_001145316,11
NM_000070,24
NM_001283154,9
NM_023008,19
NM_001282720,6
NM_001145318,10
NM_020701,11
NM_024078,15
NM_016458,6
NM_032509,10
NM_030813,17
NM_001283199,7
NM_001283215,7
NM_001145315,11
NM_001283129,9
NM_001199469,12
NM_001283235,8
NM_015958,8
NM_001077395,8
NM_000196,5
NM_001283116,9
NM_018983,7
NM_000280,13
NM_003009,6
NM_203341,4
NM_031454,9
NM_001093726,6
NM_013989,2
NM_001173513,15
NM_006440,18
NM_021237,5
NM_001258465,12
NM_000581,2
NM_201397,1
NM_005410,5
NM_001242502,4
NM_020451,13
NM_018989,21
NM_016332,4
NM_014519,5
NM_003019,8
NM_001195000,6
NM_001195035,5
NM_021077,3
NM_205858,3
NM_153460,19
NM_015918,5
NM_001111,15
NM_031292,9
NM_001256826,13
NM_015138,18
NM_153461,19
NM_001002913,5
NM_001145861,16
NM_198202,4
NM_001203265,17
NM_001193495,15
NM_001145860,16
NM_006627,7
NM_001195610,11
NM_001134693,3
NM_001203263,18
NM_016356,10
NM_001098614,9
NM_030973,18
NM_001025107,15
NM_032732,18
NM_015841,15
NM_001164811,2
NM_015840,15
NM_001080527,47
NM_139283,6
NM_019088,14
NM_018325,11
NM_005837,2
NM_001203264,17
NM_020143,7
NM_145005,5
NM_052859,13
NM_001279349,6
NM_001279351,8
NM_001279350,8
NM_020385,8
NM_001128144,12
NM_000535,15
NM_001128143,12
NM_001289408,12
NM_020695,16
NM_001013672,2
NM_000534,13
NM_001310462,4
NM_001080480,13
NM_001244713,10
NM_005732,25
NM_001278472,36
NM_001244724,10
NM_000378,9
NM_016077,2
NM_170708,11
NM_001278471,34
NM_000194,9
NM_002434,5
NM_001297420,7
NM_001015052,4
NM_001151,4
NM_014026,6
NM_005572,10
NM_001270362,9
NM_001278469,36
NM_134424,12
NM_001025300,6
NM_015026,35
NM_001282625,13
NM_170707,12
NM_017999,21
NM_024424,10
NM_176877,43
NM_001297419,12
NM_001198552,9
NM_001297422,9
NM_032272,8
NM_024426,10
NM_001636,4
NM_005053,9
NM_002874,10
NM_001278470,34
NM_001098831,5
NM_178832,5
NM_018140,12
NM_032331,3
NM_001258371,21
NM_001144881,8
NM_006150,9
NM_013397,8
NM_153026,8
NM_198859,8
NM_001307979,9
NM_001144882,8
NM_001135920,22
NM_025065,9
NM_001206557,25
NM_001307941,5
NM_001204410,18
NM_022762,11
NM_001080496,9
NM_001036,104
NM_001261439,5
NM_000706,2
NM_016052,5
NM_001287421,4
NM_001258206,26
NM_015703,7
NM_001986,13
NM_198097,15
NM_000909,3
NM_001276418,29
NM_001111039,4
NM_005428,27
NM_033280,6
NM_020829,26
NM_015179,34
NM_018427,18
NM_003003,17
NM_001024383,40
NM_024052,6
NM_033382,11
NM_033127,26
NM_001466,1
NM_181093,14
NM_001289111,9
NM_001271918,7
NM_134268,4
NM_001271922,5
NM_001079675,13
NM_001143999,17
NM_001039573,18
NM_001301064,17
NM_000856,11
NM_014871,26
NM_016217,4
NM_001282405,3
NM_000540,106
NM_032387,19
NM_014300,6
NM_001300950,5
NM_014866,32
NM_006530,7
NM_001271921,5
NM_003332,5
NM_001161368,12
NM_012429,12
NM_012334,41
NM_001988,22
NM_176072,3
NM_022780,9
NM_020423,13
NM_030759,4
NM_001048218,18
NM_001271920,7
NM_001291932,11
NM_001271919,5
NM_002564,3
NM_015270,22
NM_001127460,26
NM_001288794,12
NM_001277204,3
NM_001277208,2
NM_001023560,4
NM_176071,3
NM_020680,18
NM_174977,12
NM_033112,7
NM_004998,28
NM_152736,4
NM_007265,14
NM_001008226,3
NM_002245,3
NM_001135753,13
NM_199187,8
NM_001099406,8
NM_000224,7
NM_014604,4
NM_198450,9
NM_138555,23
NM_001193314,20
NM_198291,14
NM_001193316,19
NM_000718,46
NM_015448,6
NM_001134373,18
NM_022067,21
NM_001193315,20
NM_002951,17
NM_005417,14
NM_001292045,9
NM_001081676,28
NM_001025071,5
NM_004426,15
NM_001256461,26
NM_012229,19
NM_181503,11
NM_016026,7
NM_006745,6
NM_001003688,7
NM_145870,9
NM_007124,74
NM_002686,3
NM_005900,7
NM_001961,15
NM_001252650,6
NM_001081677,28
NM_012159,8
NM_001017369,5
NM_001001788,5
NM_201383,32
NM_201378,32
NM_001130144,28
NM_015444,1
NM_201381,32
NM_001142627,12
NM_018144,12
NM_198182,16
NM_138717,9
NM_201382,32
NM_198173,16
NM_021070,27
NM_000445,33
NM_001164266,27
NM_024915,16
NM_201384,32
NM_201380,32
NM_001195010,16
NM_001253845,3
NM_025217,5
NM_001163213,18
NM_001085382,1
NM_001293,7
NM_001184762,3
NM_007096,7
NM_001833,5
NM_001184760,6
NM_006425,16
NM_001184761,5
NM_024044,6
NM_024122,9
NM_000740,5
NM_003262,8
NM_001015000,5
NM_021117,12
NM_018359,12
NM_000488,7
NM_001301016,15
NM_001797,13
NM_001308392,14
NM_001291281,2
NM_199173,4
NM_001310124,15
NM_001310135,33
NM_001310154,89
NM_015456,13
NM_001310158,14
NM_001310159,9
NM_001310160,10
NM_001271870,6
NM_006270,6
NM_005928,8
NM_001114614,7
NM_001310320,9
NM_003366,14
NM_001310321,8
NM_001142864,51
NM_001010867,3
NM_001310332,21
NM_001310338,6
NM_001310339,3
NM_052865,5
NM_173551,15
NM_006288,4
NM_001311160,4
NM_006681,10
NM_001304422,10
NM_001311179,7
NM_001311178,11
NM_212550,2
NM_015973,6
NM_001311199,7
NM_001311200,6
