transcript,chr,start,end,strand,gene,exonnum
NONHSAT000176.2,chr1,847540,857699,+,NONHSAG000047.3,5
NONHSAT000178.2,chr1,847650,859117,+,NONHSAG000047.3,4
NONHSAT000179.2,chr1,847674,853458,+,NONHSAG000047.3,5
NONHSAT000183.2,chr1,850088,857699,+,NONHSAG000047.3,5
NONHSAT000186.2,chr1,851923,855300,+,NONHSAG000047.3,3
NONHSAT000187.2,chr1,852658,857764,+,NONHSAG000047.3,2
NONHSAT000192.2,chr1,868071,876903,-,NONHSAG000053.2,3
NONHSAT000197.2,chr1,905107,905806,+,NONHSAG056044.2,2
NONHSAT000205.2,chr1,917439,918335,-,NONHSAG000059.3,2
NONHSAT000209.2,chr1,922131,922896,-,NONHSAG000059.3,2
NONHSAT000210.2,chr1,922662,923754,-,NONHSAG000059.3,2
NONHSAT000211.2,chr1,922692,923392,-,NONHSAG000059.3,2
NONHSAT000229.2,chr1,1059703,1062056,+,NONHSAG000070.3,5
NONHSAT000230.2,chr1,1059734,1066456,+,NONHSAG000070.3,4
NONHSAT000232.2,chr1,1059730,1066652,+,NONHSAG000070.3,4
NONHSAT000234.2,chr1,1062208,1063288,+,NONHSAG000070.3,2
NONHSAT000235.2,chr1,1064495,1066274,+,NONHSAG000070.3,2
NONHSAT000236.2,chr1,1064518,1066441,+,NONHSAG000070.3,2
NONHSAT000247.2,chr1,1107984,1109211,-,NONHSAG000073.3,2
NONHSAT000269.2,chr1,1274959,1279384,+,NONHSAG000084.2,3
NONHSAT000271.2,chr1,1275237,1279393,+,NONHSAG000084.2,2
NONHSAT000284.2,chr1,1317581,1318689,-,NONHSAG000091.2,2
NONHSAT000293.2,chr1,1355706,1357571,+,NONHSAG056049.2,2
NONHSAT000307.2,chr1,1399530,1402026,+,NONHSAG000101.2,2
NONHSAT000308.2,chr1,1399806,1402033,+,NONHSAG000101.2,1
NONHSAT000312.2,chr1,1405461,1405752,-,NONHSAG000103.2,1
NONHSAT000313.2,chr1,1407315,1410420,+,NONHSAG000104.3,1
NONHSAT000327.2,chr1,1430157,1434573,-,NONHSAG000111.2,2
NONHSAT000329.2,chr1,1562346,1564524,-,NONHSAG000113.2,1
NONHSAT000333.2,chr1,1574975,1577075,+,NONHSAG000114.2,1
NONHSAT000337.2,chr1,1600273,1603021,+,NONHSAG056052.2,2
NONHSAT000373.2,chr1,1891859,1892692,+,NONHSAG000130.3,2
NONHSAT000387.2,chr1,2049203,2050169,-,NONHSAG000136.3,2
NONHSAT000393.2,chr1,2181794,2183875,-,NONHSAG000139.2,2
NONHSAT000394.2,chr1,2181794,2184053,-,NONHSAG000139.2,1
NONHSAT000395.2,chr1,2182735,2184389,-,NONHSAG000139.2,3
NONHSAT000399.2,chr1,2206983,2207769,+,NONHSAG000141.2,2
NONHSAT000400.2,chr1,2209248,2210223,-,NONHSAG000142.2,2
NONHSAT000403.2,chr1,2212523,2220736,-,NONHSAG105264.1,2
NONHSAT000415.2,chr1,2322345,2324055,-,NONHSAG000148.2,1
NONHSAT000416.2,chr1,2350414,2352820,-,NONHSAG000149.2,1
NONHSAT000433.2,chr1,2408635,2410873,-,NONHSAG000154.2,3
NONHSAT000515.2,chr1,3312860,3313679,-,NONHSAG000185.2,2
NONHSAT000523.2,chr1,3622039,3624779,-,NONHSAG000190.3,2
NONHSAT000530.2,chr1,3735984,3747373,-,NONHSAG000195.3,5
NONHSAT000534.2,chr1,3736175,3737875,-,NONHSAG000195.3,3
NONHSAT000535.2,chr1,3736477,3747341,-,NONHSAG000195.3,6
NONHSAT000537.2,chr1,3736526,3746327,-,NONHSAG000195.3,6
NONHSAT000538.2,chr1,3736743,3747341,-,NONHSAG000195.3,4
NONHSAT000539.2,chr1,3736926,3747256,-,NONHSAG000195.3,6
NONHSAT000540.2,chr1,3737249,3740398,-,NONHSAG000195.3,2
NONHSAT000545.2,chr1,3742326,3747350,-,NONHSAG000195.3,4
NONHSAT000546.2,chr1,3743048,3747352,-,NONHSAG000195.3,2
NONHSAT000547.2,chr1,3782815,3783109,+,NONHSAG000196.2,1
NONHSAT000554.2,chr1,3900372,3905532,+,NONHSAG000199.3,3
NONHSAT000555.2,chr1,3900349,3920041,+,NONHSAG000199.3,2
NONHSAT000626.2,chr1,6200493,6209560,-,NONHSAG000230.2,3
NONHSAT000627.2,chr1,6204840,6205780,-,NONHSAG000231.2,3
NONHSAT000628.2,chr1,6204846,6206286,-,NONHSAG000231.2,2
NONHSAT000635.2,chr1,6236240,6239444,+,NONHSAG000235.3,5
NONHSAT000696.2,chr1,7092727,7094456,+,NONHSAG000259.2,1
NONHSAT000699.2,chr1,7368942,7370270,+,NONHSAG000261.2,2
NONHSAT000706.2,chr1,7489115,7490006,-,NONHSAG000264.2,1
NONHSAT000719.2,chr1,7776383,7776775,+,NONHSAG000271.2,1
NONHSAT000730.2,chr1,8002729,8007469,-,NONHSAG000279.2,2
NONHSAT000769.2,chr1,8875788,8878007,-,NONHSAG000301.2,2
NONHSAT000771.2,chr1,8878835,8879894,+,NONHSAG000302.3,2
NONHSAT000774.2,chr1,8907393,8907744,-,NONHSAG000304.2,1
NONHSAT000786.2,chr1,9148397,9183750,-,NONHSAG000310.3,8
NONHSAT000791.2,chr1,9182188,9191952,+,NONHSAG000311.3,5
NONHSAT000794.2,chr1,9183499,9191856,+,NONHSAG000311.3,2
NONHSAT000806.2,chr1,9425094,9428996,-,NONHSAG000315.3,2
NONHSAT000812.2,chr1,9616715,9622313,+,NONHSAG000320.2,3
NONHSAT000814.2,chr1,9672426,9687574,-,NONHSAG000322.3,3
NONHSAT000815.2,chr1,9672402,9687564,-,NONHSAG000322.3,2
NONHSAT000825.2,chr1,9926393,9927409,-,NONHSAG000329.2,1
NONHSAT000829.2,chr1,9942923,9949974,+,NONHSAG000331.2,2
NONHSAT000831.2,chr1,9947318,9947636,+,NONHSAG000333.2,1
NONHSAT000832.2,chr1,9966706,9966956,+,NONHSAG000334.2,1
NONHSAT000844.2,chr1,10306465,10306755,+,NONHSAG000340.2,1
NONHSAT000860.2,chr1,10474946,10578427,+,NONHSAG000346.2,3
NONHSAT000862.2,chr1,10474946,10520006,+,NONHSAG000346.2,3
NONHSAT000875.2,chr1,11062176,11062651,+,NONHSAG000355.3,1
NONHSAT000882.2,chr1,11099430,11102051,+,NONHSAG000360.2,2
NONHSAT000883.2,chr1,11099430,11102100,+,NONHSAG000360.2,2
NONHSAT000909.2,chr1,11722130,11725857,+,NONHSAG000378.2,1
NONHSAT000917.2,chr1,11803029,11805936,-,NONHSAG000383.2,2
NONHSAT000951.2,chr1,12527465,12528891,+,NONHSAG000398.2,2
NONHSAT001038.2,chr1,15586136,15603626,-,NONHSAG000438.2,2
NONHSAT001039.2,chr1,15601703,15603535,-,NONHSAG000438.2,1
NONHSAT001041.2,chr1,15604597,15605043,+,NONHSAG000439.2,1
NONHSAT001050.2,chr1,15666271,15669040,+,NONHSAG000442.2,1
NONHSAT001062.2,chr1,15834452,15834785,-,NONHSAG000447.3,1
NONHSAT001081.2,chr1,16016947,16021832,+,NONHSAG000458.2,3
NONHSAT001084.2,chr1,16035178,16040029,-,NONHSAG000460.2,5
NONHSAT001088.2,chr1,16166227,16177558,-,NONHSAG058760.2,2
NONHSAT001092.2,chr1,16216469,16228027,-,NONHSAG000466.2,17
NONHSAT001093.2,chr1,16241161,16243225,-,NONHSAG000467.3,2
NONHSAT001104.2,chr1,16367030,16398148,+,NONHSAG000469.2,2
NONHSAT001116.2,chr1,16460948,16468481,+,NONHSAG000473.2,2
NONHSAT001122.2,chr1,16472895,16476065,-,NONHSAG000474.3,2
NONHSAT001124.2,chr1,16476925,16478448,-,NONHSAG000474.3,2
NONHSAT001126.2,chr1,16490646,16499257,-,NONHSAG000474.3,3
NONHSAT001128.2,chr1,16496186,16499254,-,NONHSAG000474.3,1
NONHSAT001137.2,chr1,16533891,16536988,-,NONHSAG000479.3,2
NONHSAT001139.2,chr1,16535760,16538174,+,NONHSAG000480.3,1
NONHSAT001143.2,chr1,16593444,16613516,-,NONHSAG000482.2,4
NONHSAT001145.2,chr1,16594544,16613516,-,NONHSAG000482.2,4
NONHSAT001154.2,chr1,16607433,16608863,-,NONHSAG000482.2,2
NONHSAT001155.2,chr1,16608409,16613539,-,NONHSAG000482.2,2
NONHSAT001157.2,chr1,16618258,16631109,-,NONHSAG000484.2,7
NONHSAT001158.2,chr1,16618258,16631109,-,NONHSAG000484.2,7
NONHSAT001159.2,chr1,16618262,16634559,-,NONHSAG000484.2,8
NONHSAT001162.2,chr1,16620845,16644672,-,NONHSAG000484.2,11
NONHSAT001164.2,chr1,16625378,16644683,-,NONHSAG000484.2,10
NONHSAT001167.2,chr1,16631488,16633327,-,NONHSAG000484.2,3
NONHSAT001174.2,chr1,16645574,16648092,+,NONHSAG000485.3,5
NONHSAT001175.2,chr1,16645574,16648092,+,NONHSAG000485.3,5
NONHSAT001176.2,chr1,16646190,16646996,+,NONHSAG000485.3,2
NONHSAT001182.2,chr1,16647413,16650419,+,NONHSAG000485.3,6
NONHSAT001183.2,chr1,16648502,16650317,+,NONHSAG000485.3,4
NONHSAT001184.2,chr1,16649227,16650317,+,NONHSAG000485.3,2
NONHSAT001185.2,chr1,16649471,16649960,+,NONHSAG000485.3,3
NONHSAT001209.2,chr1,16870945,16874079,+,NONHSAG000498.3,2
NONHSAT001212.2,chr1,16873039,16874092,+,NONHSAG000498.3,2
NONHSAT001214.2,chr1,16888538,16889666,-,NONHSAG000499.2,2
NONHSAT001215.2,chr1,16888559,16889643,-,NONHSAG000499.2,2
NONHSAT001216.2,chr1,16888559,16889739,-,NONHSAG000499.2,2
NONHSAT001217.2,chr1,16888564,16889576,-,NONHSAG000499.2,2
NONHSAT001236.2,chr1,17189783,17197617,+,NONHSAG000510.3,3
NONHSAT001266.2,chr1,18483818,18485984,+,NONHSAG000528.2,1
NONHSAT001270.2,chr1,18748617,18748875,+,NONHSAG000531.2,1
NONHSAT001273.2,chr1,19072110,19075511,-,NONHSAG000532.2,1
NONHSAT001280.2,chr1,19210395,19219702,+,NONHSAG000536.3,2
NONHSAT001281.2,chr1,19210519,19211865,+,NONHSAG000536.3,1
NONHSAT001282.2,chr1,19210328,19241106,+,NONHSAG000536.3,2
NONHSAT001301.2,chr1,19331596,19334437,+,NONHSAG000545.2,2
NONHSAT001302.2,chr1,19346841,19348933,-,NONHSAG000546.2,1
NONHSAT001366.2,chr1,20380116,20381540,+,NONHSAG000573.3,2
NONHSAT001403.2,chr1,21276050,21278375,-,NONHSAG000595.2,1
NONHSAT001455.2,chr1,22023994,22024968,-,NONHSAG000625.2,2
NONHSAT001457.2,chr1,22023994,22031214,-,NONHSAG000625.2,4
NONHSAT001460.2,chr1,22025196,22029601,+,NONHSAG000626.3,2
NONHSAT001461.2,chr1,22025191,22031224,+,NONHSAG000626.3,2
NONHSAT001462.2,chr1,22025504,22031224,+,NONHSAG000626.3,2
NONHSAT001464.2,chr1,22025504,22031224,+,NONHSAG000626.3,3
NONHSAT001465.2,chr1,22025504,22031224,+,NONHSAG000626.3,2
NONHSAT001466.2,chr1,22025519,22031027,+,NONHSAG000626.3,2
NONHSAT001467.2,chr1,22025504,22031224,+,NONHSAG000626.3,2
NONHSAT001470.2,chr1,22059197,22064199,+,NONHSAG000628.2,2
NONHSAT001476.2,chr1,22117305,22118926,-,NONHSAG000631.2,1
NONHSAT001478.2,chr1,22143667,22148775,+,NONHSAG056219.2,1
NONHSAT001486.2,chr1,22517474,22519708,+,NONHSAG000636.2,2
NONHSAT001501.2,chr1,23078342,23080039,-,NONHSAG000643.2,1
NONHSAT001511.2,chr1,23281333,23309635,-,NONHSAG000648.3,17
NONHSAT001512.2,chr1,23281281,23287415,-,NONHSAG000648.3,2
NONHSAT001528.2,chr1,23551250,23551643,-,NONHSAG000659.2,2
NONHSAT001529.2,chr1,23551922,23554763,-,NONHSAG000660.2,2
NONHSAT001544.2,chr1,23759515,23778262,-,NONHSAG000670.3,4
NONHSAT001553.2,chr1,23771130,23778385,-,NONHSAG000670.3,2
NONHSAT001575.2,chr1,23977388,23978699,-,NONHSAG000681.2,3
NONHSAT001584.2,chr1,24119771,24143123,-,NONHSAG000685.2,3
NONHSAT001639.2,chr1,24415755,24454823,+,NONHSAG000695.3,2
NONHSAT001642.2,chr1,24476256,24476737,+,NONHSAG000696.2,1
NONHSAT001644.2,chr1,24496094,24502896,-,NONHSAG000698.3,3
NONHSAT001645.2,chr1,24495930,24502707,-,NONHSAG000698.3,3
NONHSAT001646.2,chr1,24496315,24500102,-,NONHSAG000698.3,2
NONHSAT001652.2,chr1,24538717,24539245,+,NONHSAG000701.2,1
NONHSAT001671.2,chr1,24919313,24926537,-,NONHSAG000712.2,2
NONHSAT001674.2,chr1,24929870,24930278,-,NONHSAG000714.2,1
NONHSAT001690.2,chr1,25232602,25232876,+,NONHSAG000722.2,1
NONHSAT001699.2,chr1,25262580,25266899,-,NONHSAG000724.2,2
NONHSAT001713.2,chr1,25336429,25337465,-,NONHSAG000727.3,2
NONHSAT001722.2,chr1,25398712,25399280,+,NONHSAG000730.2,1
NONHSAT001726.2,chr1,25430945,25458464,+,NONHSAG000732.2,6
NONHSAT001732.2,chr1,25585220,25591217,+,NONHSAG000736.2,2
NONHSAT001746.2,chr1,25816735,25818208,-,NONHSAG000742.3,2
NONHSAT001750.2,chr1,25819954,25823606,-,NONHSAG000742.3,1
NONHSAT001758.2,chr1,25859578,25863420,+,NONHSAG000745.3,2
NONHSAT001792.2,chr1,26248901,26254364,+,NONHSAG000760.2,2
NONHSAT001813.2,chr1,26462756,26467537,-,NONHSAG000769.2,4
NONHSAT001822.2,chr1,26471306,26472410,-,NONHSAG000770.2,1
NONHSAT001858.2,chr1,26891778,26892561,-,NONHSAG000787.2,2
NONHSAT001870.2,chr1,27200834,27201473,-,NONHSAG000797.2,1
NONHSAT001917.2,chr1,27819983,27820341,+,NONHSAG000816.2,1
NONHSAT001928.2,chr1,27990158,27990524,-,NONHSAG000821.2,1
NONHSAT001929.2,chr1,28029714,28030912,-,NONHSAG000822.2,2
NONHSAT001930.2,chr1,28031886,28032180,-,NONHSAG000823.2,1
NONHSAT001933.2,chr1,28095859,28096406,-,NONHSAG000825.2,2
NONHSAT001951.2,chr1,28453541,28453934,+,NONHSAG000834.2,1
NONHSAT001952.2,chr1,28505943,28510892,+,NONHSAG000835.3,3
NONHSAT001955.2,chr1,28506351,28509633,+,NONHSAG000835.3,2
NONHSAT001963.2,chr1,28544460,28546542,+,NONHSAG000838.3,1
NONHSAT001967.2,chr1,28578538,28581872,-,NONHSAG000840.3,6
NONHSAT001968.2,chr1,28578538,28581872,-,NONHSAG000840.3,4
NONHSAT001969.2,chr1,28578538,28581050,-,NONHSAG000840.3,4
NONHSAT001970.2,chr1,28578538,28581872,-,NONHSAG000840.3,5
NONHSAT001971.2,chr1,28578538,28581872,-,NONHSAG000840.3,5
NONHSAT001972.2,chr1,28578539,28581872,-,NONHSAG000840.3,3
NONHSAT001974.2,chr1,28578541,28581872,-,NONHSAG000840.3,5
NONHSAT001975.2,chr1,28578541,28582983,-,NONHSAG000840.3,6
NONHSAT001976.2,chr1,28578546,28581872,-,NONHSAG000840.3,6
NONHSAT001981.2,chr1,28580335,28581872,-,NONHSAG000840.3,3
NONHSAT001985.2,chr1,28643184,28651098,+,NONHSAG000843.3,2
NONHSAT001986.2,chr1,28646091,28648581,+,NONHSAG000843.3,2
NONHSAT001991.2,chr1,28649672,28650283,+,NONHSAG000843.3,1
NONHSAT001993.2,chr1,28736044,28736679,-,NONHSAG000844.2,1
NONHSAT002014.2,chr1,29160382,29168639,-,NONHSAG000855.2,4
NONHSAT002032.2,chr1,29708851,29709547,-,NONHSAG000863.2,2
NONHSAT002060.2,chr1,30723335,30725064,+,NONHSAG000880.2,1
NONHSAT002065.2,chr1,30824228,30834284,+,NONHSAG000882.3,4
NONHSAT002092.2,chr1,31263245,31263681,-,NONHSAG000896.2,1
NONHSAT002096.2,chr1,31297047,31338961,+,NONHSAG000899.2,5
NONHSAT002111.2,chr1,31644694,31649371,+,NONHSAG000910.3,2
NONHSAT002128.2,chr1,31670144,31670999,+,NONHSAG000913.2,2
NONHSAT002140.2,chr1,31851913,31921841,-,NONHSAG000920.2,2
NONHSAT002153.2,chr1,32045331,32060852,+,NONHSAG000925.3,4
NONHSAT002162.2,chr1,32170733,32176568,+,NONHSAG000930.2,2
NONHSAT002166.2,chr1,32193201,32200357,-,NONHSAG000932.2,2
NONHSAT002168.2,chr1,32203324,32208665,-,NONHSAG000934.3,3
NONHSAT002171.2,chr1,32205509,32209847,-,NONHSAG000934.3,3
NONHSAT002176.2,chr1,32214556,32215825,-,NONHSAG000936.2,3
NONHSAT002187.2,chr1,32231670,32235130,-,NONHSAG000938.3,3
NONHSAT002189.2,chr1,32232018,32240421,-,NONHSAG000938.3,4
NONHSAT002190.2,chr1,32234526,32235343,-,NONHSAG000938.3,2
NONHSAT002201.2,chr1,32351883,32361269,+,NONHSAG000946.2,1
NONHSAT002205.2,chr1,32373143,32374702,-,NONHSAG000948.2,1
NONHSAT002223.2,chr1,32705695,32706322,-,NONHSAG000956.3,2
NONHSAT002224.2,chr1,32717734,32725257,-,NONHSAG000956.3,2
NONHSAT002259.2,chr1,33124299,33127147,-,NONHSAG000972.2,1
NONHSAT002260.2,chr1,33127353,33127982,+,NONHSAG000973.2,1
NONHSAT002261.2,chr1,33128092,33131533,+,NONHSAG000974.2,1
NONHSAT002263.2,chr1,33141871,33143230,-,NONHSAG000976.2,1
NONHSAT002268.2,chr1,33261212,33261680,+,NONHSAG000978.2,1
NONHSAT002269.2,chr1,33284515,33284975,+,NONHSAG000979.2,1
NONHSAT002270.2,chr1,33299374,33300719,+,NONHSAG000980.2,1
NONHSAT002274.2,chr1,33323627,33324020,-,NONHSAG000982.2,1
NONHSAT002277.2,chr1,33350073,33367191,+,NONHSAG000984.3,3
NONHSAT002279.2,chr1,33367293,33431014,-,NONHSAG000986.2,7
NONHSAT002334.2,chr1,35122022,35122484,+,NONHSAG001009.2,1
NONHSAT002344.2,chr1,35176380,35182138,-,NONHSAG001012.2,4
NONHSAT002382.2,chr1,35856082,35857675,+,NONHSAG001035.2,1
NONHSAT002437.2,chr1,37454743,37474506,-,NONHSAG057682.2,2
NONHSAT002438.2,chr1,37454879,37474443,-,NONHSAG057682.2,3
NONHSAT002440.2,chr1,37469440,37471527,-,NONHSAG001065.2,1
NONHSAT002470.2,chr1,37809577,37813320,-,NONHSAG001079.2,1
NONHSAT002525.2,chr1,38859984,38919396,+,NONHSAG056346.2,4
NONHSAT002526.2,chr1,38859984,38879489,+,NONHSAG056346.2,2
NONHSAT002539.2,chr1,39026334,39034614,+,NONHSAG001106.2,2
NONHSAT002541.2,chr1,39047040,39048456,+,NONHSAG001108.2,2
NONHSAT002556.2,chr1,39521645,39546357,-,NONHSAG001118.2,5
NONHSAT002557.2,chr1,39521645,39546357,-,NONHSAG001118.2,4
NONHSAT002563.2,chr1,39522280,39525685,-,NONHSAG001118.2,3
NONHSAT002564.2,chr1,39522280,39559698,-,NONHSAG001118.2,9
NONHSAT002565.2,chr1,39522284,39523841,-,NONHSAG001118.2,2
NONHSAT002566.2,chr1,39522444,39529542,-,NONHSAG001118.2,2
NONHSAT002569.2,chr1,39524593,39525799,-,NONHSAG001118.2,2
NONHSAT002571.2,chr1,39526585,39542000,-,NONHSAG001118.2,2
NONHSAT002573.2,chr1,39528895,39546564,-,NONHSAG001118.2,3
NONHSAT002574.2,chr1,39531838,39558707,-,NONHSAG001118.2,7
NONHSAT002576.2,chr1,39547788,39559727,-,NONHSAG001118.2,3
NONHSAT002577.2,chr1,39548119,39554390,-,NONHSAG001118.2,2
NONHSAT002578.2,chr1,39556575,39559655,-,NONHSAG001118.2,2
NONHSAT002579.2,chr1,39557077,39559727,-,NONHSAG001118.2,2
NONHSAT002600.2,chr1,39788976,39790171,+,NONHSAG058941.2,1
NONHSAT002629.2,chr1,40282314,40283505,+,NONHSAG001148.2,2
NONHSAT002640.2,chr1,40464319,40466767,+,NONHSAG001155.2,1
NONHSAT002644.2,chr1,40491043,40508682,-,NONHSAG001159.3,2
NONHSAT002658.2,chr1,40689080,40692261,-,NONHSAG001167.3,1
NONHSAT002675.2,chr1,40980017,40981001,+,NONHSAG001178.2,2
NONHSAT002679.2,chr1,41014590,41043890,+,NONHSAG001180.3,4
NONHSAT002683.2,chr1,41130562,41130995,-,NONHSAG001183.2,1
NONHSAT002697.2,chr1,41375004,41375669,-,NONHSAG001190.2,2
NONHSAT002698.2,chr1,41433200,41464865,+,NONHSAG001191.3,2
NONHSAT002723.2,chr1,41933943,42034138,-,NONHSAG001200.2,9
NONHSAT002746.2,chr1,42678686,42681658,+,NONHSAG001211.2,2
NONHSAT002760.2,chr1,42836932,42846362,-,NONHSAG001219.3,3
NONHSAT002761.2,chr1,42841898,42846422,-,NONHSAG001219.3,5
NONHSAT002762.2,chr1,42841898,42846422,-,NONHSAG001219.3,5
NONHSAT002769.2,chr1,42959046,42996862,+,NONHSAG058967.2,4
NONHSAT002771.2,chr1,42959104,42976428,+,NONHSAG058967.2,3
NONHSAT002775.2,chr1,43120148,43146287,+,NONHSAG001223.2,3
NONHSAT002796.2,chr1,43351609,43358673,-,NONHSAG001229.3,3
NONHSAT002798.2,chr1,43355541,43358705,-,NONHSAG001229.3,1
NONHSAT002817.2,chr1,43699724,43707341,-,NONHSAG001242.3,5
NONHSAT002818.2,chr1,43699765,43708138,-,NONHSAG001242.3,5
NONHSAT002819.2,chr1,43699923,43707341,-,NONHSAG001242.3,5
NONHSAT002820.2,chr1,43703395,43704746,-,NONHSAG001242.3,2
NONHSAT002822.2,chr1,43704314,43707338,-,NONHSAG001242.3,2
NONHSAT002826.2,chr1,43743471,43743741,+,NONHSAG001245.2,1
NONHSAT002827.2,chr1,43937632,43946599,-,NONHSAG001247.3,2
NONHSAT002838.2,chr1,43972434,43974803,-,NONHSAG001252.3,2
NONHSAT002854.2,chr1,44043928,44104975,+,NONHSAG001259.3,7
NONHSAT002856.2,chr1,44048348,44076412,+,NONHSAG001259.3,3
NONHSAT002857.2,chr1,44048348,44076278,+,NONHSAG001259.3,4
NONHSAT002858.2,chr1,44051114,44076192,+,NONHSAG001259.3,4
NONHSAT002859.2,chr1,44051115,44076470,+,NONHSAG001259.3,2
NONHSAT002863.2,chr1,44122153,44122512,-,NONHSAG001263.3,1
NONHSAT002872.2,chr1,44243376,44244283,-,NONHSAG001268.2,2
NONHSAT002922.2,chr1,45206737,45210218,+,NONHSAG001290.2,1
NONHSAT002942.2,chr1,45494476,45497388,-,NONHSAG001297.2,4
NONHSAT002954.2,chr1,45637523,45638886,-,NONHSAG001304.2,1
NONHSAT002955.2,chr1,45645772,45646685,-,NONHSAG001305.2,1
NONHSAT002967.2,chr1,45697058,45699395,-,NONHSAG001311.2,2
NONHSAT002975.2,chr1,46028887,46032755,-,NONHSAG001317.2,1
NONHSAT002986.2,chr1,46133168,46139055,+,NONHSAG001321.3,3
NONHSAT003011.2,chr1,46370586,46370955,+,NONHSAG001338.2,1
NONHSAT003013.2,chr1,46432129,46445321,+,NONHSAG001340.2,12
NONHSAT003016.2,chr1,46455823,46482475,+,NONHSAG001342.2,2
NONHSAT003031.2,chr1,46665910,46666375,-,NONHSAG001350.2,1
NONHSAT003054.2,chr1,47172855,47175318,-,NONHSAG001360.2,2
NONHSAT003055.2,chr1,47177597,47180373,-,NONHSAG001360.2,2
NONHSAT003056.2,chr1,47178548,47180373,+,NONHSAG001365.3,2
NONHSAT003057.2,chr1,47178548,47180373,+,NONHSAG001365.3,2
NONHSAT003058.2,chr1,47179137,47179911,+,NONHSAG001365.3,2
NONHSAT003076.2,chr1,47380715,47386864,-,NONHSAG001375.3,2
NONHSAT003078.2,chr1,47380928,47408477,-,NONHSAG001375.3,3
NONHSAT003081.2,chr1,47432133,47434641,-,NONHSAG001375.3,1
NONHSAT003082.2,chr1,47435750,47437695,-,NONHSAG001375.3,1
NONHSAT003122.2,chr1,48227888,48229561,-,NONHSAG001404.2,1
NONHSAT003126.2,chr1,48295372,48296787,-,NONHSAG001407.2,1
NONHSAT003128.2,chr1,48325080,48326123,-,NONHSAG001409.2,1
NONHSAT003132.2,chr1,48379079,48381353,-,NONHSAG001410.2,1
NONHSAT003174.2,chr1,50977045,50978240,-,NONHSAG001437.2,2
NONHSAT003175.2,chr1,50977561,51013502,+,NONHSAG001438.3,3
NONHSAT003194.2,chr1,51329629,51336305,+,NONHSAG001448.3,3
NONHSAT003213.2,chr1,51793985,51799154,+,NONHSAG001459.2,2
NONHSAT003215.2,chr1,51795211,51798409,+,NONHSAG001459.2,2
NONHSAT003218.2,chr1,51856526,51860389,-,NONHSAG001462.2,1
NONHSAT003230.2,chr1,52055377,52056124,-,NONHSAG001469.2,1
NONHSAT003234.2,chr1,52150105,52150417,+,NONHSAG001471.2,1
NONHSAT003240.2,chr1,52253621,52254176,+,NONHSAG001476.2,1
NONHSAT003242.2,chr1,52352537,52352817,-,NONHSAG001478.2,1
NONHSAT003245.2,chr1,52368677,52369244,+,NONHSAG001479.2,1
NONHSAT003261.2,chr1,52881216,52881730,+,NONHSAG001486.2,2
NONHSAT003288.2,chr1,53114576,53118609,+,NONHSAG001495.2,2
NONHSAT003292.2,chr1,53210456,53213775,-,NONHSAG001499.2,2
NONHSAT003300.2,chr1,53220663,53224258,+,NONHSAG001502.2,1
