,transcript_id,freeenergy,length
NM_024705,NM_024705,-751.4,2015
NM_001282991,NM_001282991,-384.8,955
NM_001267869,NM_001267869,-853,1785
NM_001270424,NM_001270424,-428.4,1239
NM_144683,NM_144683,-850.4,1939
NM_001136230,NM_001136230,-598.2,2289
NM_001757,NM_001757,-523.1,1321
NM_012282,NM_012282,-592.4,1465
NM_001291997,NM_001291997,-855.6,2440
NM_001142466,NM_001142466,-1521.5,3958
NM_133443,NM_133443,-1592,3982
NM_052902,NM_052902,-1606.4,3629
NM_001305624,NM_001305624,-358.8,1377
NM_001743,NM_001743,-340.9,1331
NM_001305625,NM_001305625,-312.9,1236
NM_001305626,NM_001305626,-1146.3,4591
NM_001305629,NM_001305629,-629,1596
NM_017806,NM_017806,-700.8,1372
NM_001024688,NM_001024688,-1179.1,4724
NM_147200,NM_147200,-826.9,2474
NM_024863,NM_024863,-391.7,1371
NM_001006935,NM_001006935,-364.8,1312
NM_001006937,NM_001006937,-365.6,1307
NM_001305840,NM_001305840,-466.8,1561
NM_001305878,NM_001305878,-1044.6,3646
NM_016035,NM_016035,-656.2,1601
NM_001305942,NM_001305942,-519.3,1280
NM_001270449,NM_001270449,-521.8,1491
NM_001270450,NM_001270450,-365.6,1146
NM_001270451,NM_001270451,-373.1,1158
NM_002240,NM_002240,-891.6,2790
NM_144778,NM_144778,-1103.67,4755
NM_001039938,NM_001039938,-760.6,2494
NM_206886,NM_206886,-931.31,4339
NM_001017364,NM_001017364,-350.1,1128
NM_000716,NM_000716,-353.5,1131
NM_001165993,NM_001165993,-464.9,1796
NM_001165994,NM_001165994,-330.3,1171
NM_018942,NM_018942,-1047.3,1896
NM_001099433,NM_001099433,-1180.2,3011
NM_000320,NM_000320,-606.3,1660
NM_002112,NM_002112,-948.9,2646
NM_207038,NM_207038,-1280.2,4717
NM_207036,NM_207036,-1304,4796
NM_003205,NM_003205,-1282.5,4734
NM_012068,NM_012068,-908.8,2293
NM_001193646,NM_001193646,-805.9,2088
NM_025141,NM_025141,-412.7,1343
NM_001007156,NM_001007156,-1468.5,4141
NM_002530,NM_002530,-1087,2962
NM_004811,NM_004811,-569.7,1926
NM_001166226,NM_001166226,-1151.2,4647
NM_001012338,NM_001012338,-1101.9,3004
NM_001243101,NM_001243101,-1085.2,2938
NM_001004339,NM_001004339,-1632.4,4286
NM_024921,NM_024921,-957.8,3949
NM_001032283,NM_001032283,-1359.5,4186
NM_001128213,NM_001128213,-565.6,1944
NM_001277053,NM_001277053,-755.6,1975
NM_152528,NM_152528,-503.2,1836
NM_001032284,NM_001032284,-1280,3859
NM_003276,NM_003276,-1102.3,3690
NM_001098817,NM_001098817,-335.8,1095
NM_005781,NM_005781,-2203.2,4476
NM_001010938,NM_001010938,-2004.7,4222
NM_022073,NM_022073,-839.6,2722
NM_017885,NM_017885,-395,1023
NM_001002018,NM_001002018,-323.5,811
NM_001242929,NM_001242929,-1016.4,2272
NM_004221,NM_004221,-417.6,1090
NM_001288666,NM_001288666,-296.7,754
NM_001012632,NM_001012632,-353,956
NM_001012631,NM_001012631,-443.8,1157
NM_001012633,NM_001012633,-331.4,919
NM_152531,NM_152531,-1096.7,2830
NM_003060,NM_003060,-1160.4,3295
NM_001012634,NM_001012634,-331.4,897
NM_001012718,NM_001012718,-417.9,1093
NM_138340,NM_138340,-599.8,2085
NM_139156,NM_139156,-1600.6,3785
NM_003941,NM_003941,-1191.9,4447
NM_000377,NM_000377,-681.37,1844
NM_001257360,NM_001257360,-1783.5,4138
NM_198686,NM_198686,-1311.1,3411
NM_005736,NM_005736,-1074.1,2891
NM_001144875,NM_001144875,-841.27,2354
NM_139070,NM_139070,-1282.2,4336
NM_138644,NM_138644,-318.1,1298
NM_138643,NM_138643,-327.7,1202
NM_153769,NM_153769,-385.3,1425
NM_148415,NM_148415,-1415.3,3820
NM_148416,NM_148416,-1413.3,3797
NM_012189,NM_012189,-701.8,2382
NM_144615,NM_144615,-551.3,1282
NM_001018073,NM_001018073,-818.7,2049
NM_139069,NM_139069,-1283.7,4341
NM_001135044,NM_001135044,-629.6,2370
NM_002752,NM_002752,-1281.4,4336
NM_139068,NM_139068,-1282.9,4341
NM_170711,NM_170711,-899.5,2304
NM_017492,NM_017492,-1446.6,3874
NM_001146037,NM_001146037,-1266.1,4226
NM_001261410,NM_001261410,-999.1,2893
NM_003382,NM_003382,-1604.8,3961
NM_001261408,NM_001261408,-1114.4,3240
NM_006513,NM_006513,-687.8,1956
NM_001128588,NM_001128588,-1235.2,4129
NM_003567,NM_003567,-1153.7,3203
NM_013976,NM_013976,-678.7,1665
NM_001280787,NM_001280787,-389.5,994
NM_001281443,NM_001281443,-476.7,1382
NM_000450,NM_000450,-1108,3875
NM_000655,NM_000655,-696.4,2442
NM_001017365,NM_001017365,-321.4,993
NM_001017366,NM_001017366,-317.3,990
NM_001306075,NM_001306075,-742,2129
NM_018401,NM_018401,-1186.9,3529
NM_198531,NM_198531,-1570.2,4500
NM_001105079,NM_001105079,-1869.4,4136
NM_007082,NM_007082,-393.8,1154
NM_013412,NM_013412,-741,2198
NM_000545,NM_000545,-1520,3417
NM_019556,NM_019556,-624,2451
NM_001306200,NM_001306200,-556.5,1618
NM_003248,NM_003248,-1228.27,3281
NM_001306213,NM_001306213,-1128.1,3167
NM_004537,NM_004537,-1211.4,4714
NM_001143995,NM_001143995,-595.5,1965
NM_018093,NM_018093,-543.1,1390
NM_018484,NM_018484,-1550.6,3900
NM_001307990,NM_001307990,-1268,3004
NM_004579,NM_004579,-1273.7,3028
NM_001128212,NM_001128212,-547.6,1928
NM_006033,NM_006033,-1361.2,4169
NM_003797,NM_003797,-808.8,2476
NM_001308038,NM_001308038,-367.1,1648
NM_001281300,NM_001281300,-1195.2,2783
NM_004421,NM_004421,-1349,2941
NM_002828,NM_002828,-983.6,3418
NM_001145796,NM_001145796,-1354,3046
NM_080423,NM_080423,-467.8,1619
NM_001040649,NM_001040649,-226.5,658
NM_001207013,NM_001207013,-504.1,1790
NM_001145795,NM_001145795,-1299,2946
NM_015503,NM_015503,-2129.3,4876
NM_001145797,NM_001145797,-1383.3,3099
NM_080422,NM_080422,-491.1,1721
NM_001128166,NM_001128166,-714.1,2577
NM_002578,NM_002578,-850.1,2754
NM_022757,NM_022757,-1064.1,4187
NM_018110,NM_018110,-1120,2750
NM_001099640,NM_001099640,-657.7,2269
NM_018286,NM_018286,-493.2,1771
NM_022726,NM_022726,-826.2,3085
NM_001243251,NM_001243251,-550.5,2038
NM_024678,NM_024678,-775.8,2519
NM_001242397,NM_001242397,-770.2,3083
NM_002822,NM_002822,-763.1,3062
NM_007284,NM_007284,-707,1659
NM_018445,NM_018445,-442.2,1262
NM_002052,NM_002052,-1444.77,3473
NM_031946,NM_031946,-1634,3564
NM_001042535,NM_001042535,-1095.2,2380
NM_001308304,NM_001308304,-1046,2221
NM_014498,NM_014498,-1248.9,4338
NM_020307,NM_020307,-884.1,2947
NM_001018,NM_001018,-202.7,550
NM_173657,NM_173657,-540.8,1952
NM_001308235,NM_001308235,-976.8,1988
NM_173505,NM_173505,-928.1,3371
NM_004058,NM_004058,-981.4,2151
NM_080590,NM_080590,-934.1,2070
NM_001308278,NM_001308278,-1098.9,3803
NM_001308293,NM_001308293,-1408.5,3209
NM_015967,NM_015967,-866.4,3678
NM_001017928,NM_001017928,-158.7,730
NM_001308341,NM_001308341,-739.4,1921
NM_203475,NM_203475,-770.1,1906
NM_182763,NM_182763,-1253.5,3859
NM_173475,NM_173475,-921.5,2886
NM_031443,NM_031443,-810.3,1904
NM_001126059,NM_001126059,-330.4,964
NM_022825,NM_022825,-762.4,1873
NM_001174085,NM_001174085,-1030.4,2465
NM_015319,NM_015319,-2069.3,4952
NM_022165,NM_022165,-329.1,755
NM_017844,NM_017844,-1048.5,2524
NM_001282167,NM_001282167,-815,2018
NM_170754,NM_170754,-2037.7,4862
NM_078474,NM_078474,-446.1,1421
NM_001167935,NM_001167935,-678.8,1631
NM_153635,NM_153635,-756.9,2066
NM_020828,NM_020828,-1190,4104
NM_153370,NM_153370,-926.9,2205
NM_013274,NM_013274,-1142.8,2741
NM_001126057,NM_001126057,-610.1,1507
NM_203473,NM_203473,-764.6,1891
NM_001174084,NM_001174084,-1168.1,2804
NM_001190348,NM_001190348,-655.7,1621
NM_001029835,NM_001029835,-747.9,1892
NM_001190347,NM_001190347,-780.7,1865
NM_001271620,NM_001271620,-1678.7,4706
NM_001080538,NM_001080538,-522.4,1625
NM_001204830,NM_001204830,-434.4,1627
NM_145199,NM_145199,-314.5,1330
NM_001152,NM_001152,-430.2,1351
NM_033087,NM_033087,-853.9,2834
NM_173660,NM_173660,-1238.2,2583
NM_144988,NM_144988,-287.6,1057
NM_001382,NM_001382,-667.3,2150
NM_145197,NM_145197,-374.4,1584
NM_015929,NM_015929,-359.3,1456
NM_001605,NM_001605,-1201.5,3344
NM_001305242,NM_001305242,-300.2,1094
NM_080538,NM_080538,-1217.6,3136
NM_017778,NM_017778,-1195.4,3995
NM_004429,NM_004429,-1456.7,3344
NM_001008393,NM_001008393,-894.7,3545
NM_015697,NM_015697,-538,1657
NM_178493,NM_178493,-1029.4,2281
NM_017421,NM_017421,-379.1,1265
NM_001286562,NM_001286562,-653.9,2513
NM_014433,NM_014433,-478.2,1286
NM_001308150,NM_001308150,-522,1482
NM_001007559,NM_001007559,-971.1,3440
NM_005637,NM_005637,-938.9,3347
NM_001308204,NM_001308204,-1306,4196
NM_001308205,NM_001308205,-1286.6,4220
NM_198567,NM_198567,-661.1,2082
NM_020313,NM_020313,-771,2199
NM_194312,NM_194312,-2346.2,4704
NM_001282949,NM_001282949,-828.3,2461
NM_001282951,NM_001282951,-838.7,2474
NM_001282950,NM_001282950,-924.5,2635
NM_022730,NM_022730,-909.2,2582
NM_001282952,NM_001282952,-884.8,2506
NM_000164,NM_000164,-1342.5,3296
NM_005793,NM_005793,-1017.8,3021
NM_001308426,NM_001308426,-1114.1,3238
NM_001308430,NM_001308430,-996.1,2981
NM_001308431,NM_001308431,-1094.8,3198
NM_001308435,NM_001308435,-1026.6,3037
NM_001005336,NM_001005336,-1293.5,3297
NM_001288738,NM_001288738,-1566.6,3942
NM_004408,NM_004408,-1283.1,3260
NM_001288737,NM_001288737,-1289.7,3297
NM_147127,NM_147127,-1671.9,4426
NM_001166136,NM_001166136,-1824.1,4864
NM_001307994,NM_001307994,-470.4,1652
NM_001290149,NM_001290149,-871.4,2172
NM_001301190,NM_001301190,-831,2062
NM_052836,NM_052836,-1119.7,2684
NM_001302891,NM_001302891,-838.9,3399
NM_001136108,NM_001136108,-663.9,1651
NM_001302632,NM_001302632,-562.1,1486
NM_001304808,NM_001304808,-1727.8,4591
NM_001290325,NM_001290325,-1280.6,4123
NM_001297723,NM_001297723,-649.4,1815
NM_001301020,NM_001301020,-440.6,1189
NM_001304337,NM_001304337,-247.6,616
NM_001301650,NM_001301650,-611,1525
NM_001304999,NM_001304999,-716.2,1617
NM_001291918,NM_001291918,-313.2,1119
NM_006764,NM_006764,-904.2,2129
NM_001144943,NM_001144943,-508.3,1333
NM_001308151,NM_001308151,-353.7,1090
NM_001293697,NM_001293697,-1301.8,3275
NM_001290153,NM_001290153,-765.9,1794
NM_001306085,NM_001306085,-1560.9,4467
NM_001308383,NM_001308383,-320.6,934
NM_001291728,NM_001291728,-1143.5,2658
NM_001302617,NM_001302617,-273.8,815
NM_001303229,NM_001303229,-937.9,2898
NM_001271562,NM_001271562,-575.3,2019
NM_001307924,NM_001307924,-595.3,2103
NM_020979,NM_020979,-1009,2226
NM_001308229,NM_001308229,-491,1825
NM_001289979,NM_001289979,-1430,3483
NM_001304802,NM_001304802,-904.8,2307
NM_001290052,NM_001290052,-1443.5,3901
NM_001286212,NM_001286212,-843.1,2904
NM_001289746,NM_001289746,-549,1407
NM_001303108,NM_001303108,-1332.1,4223
NM_001306146,NM_001306146,-917.3,2566
NM_001305102,NM_001305102,-1100.6,3644
NM_001303538,NM_001303538,-986.1,2472
NM_001305204,NM_001305204,-306.5,845
NM_001303501,NM_001303501,-1030,2571
NM_001301833,NM_001301833,-437.8,1589
NM_173667,NM_173667,-801.2,2998
NM_025031,NM_025031,-165.07,679
NM_001300776,NM_001300776,-953.6,3179
NM_001308026,NM_001308026,-402.2,1360
NM_001305000,NM_001305000,-320.1,981
NM_001308122,NM_001308122,-1187.5,3371
NM_001290746,NM_001290746,-834.5,2059
NM_001039380,NM_001039380,-941.2,3100
NM_001308419,NM_001308419,-230.1,566
NM_001305842,NM_001305842,-392.5,1366
NM_001301685,NM_001301685,-334.7,1226
NM_001308046,NM_001308046,-1995.8,4243
NM_001291942,NM_001291942,-771.6,3320
NM_001297578,NM_001297578,-869.3,2443
NM_001289910,NM_001289910,-585.6,1578
NM_001308381,NM_001308381,-928,2650
NM_001304288,NM_001304288,-399.1,1201
NM_001291980,NM_001291980,-1308.9,2911
NM_001291291,NM_001291291,-633,1329
NM_001301716,NM_001301716,-910.2,2457
NM_001308103,NM_001308103,-594.9,2199
NM_001297741,NM_001297741,-688.9,2368
NM_001301779,NM_001301779,-1475.3,4393
NM_001308064,NM_001308064,-246.8,858
NM_001308231,NM_001308231,-612.7,2060
NM_001293695,NM_001293695,-1530.5,3780
NM_001300832,NM_001300832,-1623.2,3598
NM_001010858,NM_001010858,-1282.6,3133
NM_001307985,NM_001307985,-1423.9,3576
NM_001300796,NM_001300796,-676.4,2492
NM_152856,NM_152856,-1283.1,3178
NM_001293642,NM_001293642,-1310.8,3996
NM_172056,NM_172056,-1647,3558
NM_001304373,NM_001304373,-433.8,987
NM_001142470,NM_001142470,-594.2,1808
NM_001303618,NM_001303618,-745.3,2842
NM_001303620,NM_001303620,-1007.2,2649
NM_001303107,NM_001303107,-1379,4348
NM_001308396,NM_001308396,-309.2,866
NM_001290214,NM_001290214,-1088.4,3425
NM_001308211,NM_001308211,-702.3,1784
NM_001304492,NM_001304492,-736.3,2691
NM_173832,NM_173832,-2044.9,4813
NM_001301782,NM_001301782,-919.3,1927
NM_001306160,NM_001306160,-253.7,786
NM_001303251,NM_001303251,-813.1,2931
NM_001308273,NM_001308273,-576.1,1985
NM_001304372,NM_001304372,-502.9,1164
NM_001308358,NM_001308358,-724.6,2083
NM_001291954,NM_001291954,-873.2,3162
NM_001302554,NM_001302554,-900.3,1952
NM_001256696,NM_001256696,-754.8,1869
NM_001308263,NM_001308263,-1169.2,4169
NM_001304363,NM_001304363,-518.3,2008
NM_001302946,NM_001302946,-591.5,2255
NM_001308007,NM_001308007,-840,2551
NM_001301687,NM_001301687,-688.9,1832
NM_001305019,NM_001305019,-1381,3433
NM_001303458,NM_001303458,-586.5,1994
NM_001290260,NM_001290260,-748.9,3014
NM_001291572,NM_001291572,-1455.4,4647
NM_001306151,NM_001306151,-815.9,3006
NM_001306159,NM_001306159,-394,1157
NM_001304485,NM_001304485,-267.9,1151
NM_001301790,NM_001301790,-840.8,2486
NM_001304993,NM_001304993,-604.8,1311
NM_001301187,NM_001301187,-1389.9,3411
NM_001303007,NM_001303007,-964.4,2178
NM_001302703,NM_001302703,-377.6,1097
NM_001290787,NM_001290787,-1395,2903
NM_001291739,NM_001291739,-686.5,2374
NM_001304341,NM_001304341,-484,1442
NM_001291339,NM_001291339,-1155.8,4735
NM_001289912,NM_001289912,-1064.5,2997
NM_001303134,NM_001303134,-617,2219
NM_001302704,NM_001302704,-326.6,957
NM_001199744,NM_001199744,-303.3,850
NM_001290075,NM_001290075,-1617,4058
NM_001278235,NM_001278235,-710.1,2261
NM_001304443,NM_001304443,-753.8,2270
NM_001306188,NM_001306188,-571,2289
NM_001301410,NM_001301410,-429.3,1559
NM_001282338,NM_001282338,-957.2,3723
NM_001307931,NM_001307931,-1424.1,3534
NM_001308230,NM_001308230,-1454.8,3895
NM_001304797,NM_001304797,-412.6,1004
NM_007105,NM_007105,-919.8,2311
NM_001303234,NM_001303234,-587.7,1573
NM_001306145,NM_001306145,-494,1460
NM_182530,NM_182530,-879.6,3133
NM_001293320,NM_001293320,-186.8,813
NM_001290357,NM_001290357,-1249.4,3816
NM_001292025,NM_001292025,-1752.5,3943
NM_001307977,NM_001307977,-487.6,1254
NM_001289937,NM_001289937,-1832,4411
NM_001291571,NM_001291571,-1106.1,3387
NM_001291430,NM_001291430,-255.1,692
NM_001291447,NM_001291447,-1513.9,3948
NM_001291952,NM_001291952,-958.4,3413
NM_001297624,NM_001297624,-1011.4,4638
NM_001308256,NM_001308256,-537.7,1926
NM_001291605,NM_001291605,-1251.9,4019
NM_001306077,NM_001306077,-1290.7,4413
NM_001300975,NM_001300975,-998.2,3283
NM_001293294,NM_001293294,-982.2,2505
NM_001304486,NM_001304486,-237.7,1029
NM_001301856,NM_001301856,-1002.7,3271
NM_001306158,NM_001306158,-744,2201
NM_001304947,NM_001304947,-844.8,2562
NM_001290135,NM_001290135,-748.1,2244
NM_001301229,NM_001301229,-1096.3,3567
NM_173541,NM_173541,-312.1,738
NM_001308155,NM_001308155,-1228.6,4254
NM_001301175,NM_001301175,-1251.27,4145
NM_001307975,NM_001307975,-1328.9,4066
NM_001300794,NM_001300794,-1458.8,3155
NM_001308317,NM_001308317,-1063.2,4257
NM_001301780,NM_001301780,-1414.7,4249
NM_001291737,NM_001291737,-731.2,2440
NM_182626,NM_182626,-685.4,1902
NM_001304493,NM_001304493,-782.8,2816
NM_001303479,NM_001303479,-180,611
NM_001293296,NM_001293296,-946.6,2342
NM_182684,NM_182684,-664.5,1542
NM_001302691,NM_001302691,-613.3,1249
NM_001308388,NM_001308388,-657.1,1787
NM_001308201,NM_001308201,-953.4,3415
NM_001243203,NM_001243203,-927.7,3513
NM_001308326,NM_001308326,-170.4,756
NM_001304529,NM_001304529,-933.07,3346
NM_001306092,NM_001306092,-785,1995
NM_001297567,NM_001297567,-305.4,987
NM_001302084,NM_001302084,-800.8,2031
NM_001306070,NM_001306070,-1079.37,4655
NM_001291774,NM_001291774,-470.5,1273
NM_001308185,NM_001308185,-662.5,2020
NM_001308078,NM_001308078,-472.4,1243
NM_001271156,NM_001271156,-1436,3298
NM_001308006,NM_001308006,-1274.9,3947
NM_001300923,NM_001300923,-914.1,2246
NM_001304792,NM_001304792,-1263.8,4025
NM_001308440,NM_001308440,-1003.54,3513
NM_001308382,NM_001308382,-678.6,1644
NM_001297577,NM_001297577,-937.5,2614
NM_001300897,NM_001300897,-484.3,1793
NM_001308069,NM_001308069,-805.1,2287
NM_001308054,NM_001308054,-1104.9,2641
NM_001290155,NM_001290155,-723.5,1689
NM_001301195,NM_001301195,-1323.3,3281
NM_001291641,NM_001291641,-1547.2,4118
NM_001291412,NM_001291412,-679.6,2524
NM_032790,NM_032790,-680.1,1496
NM_001307960,NM_001307960,-378.9,1282
NM_001308156,NM_001308156,-458.2,1713
NM_001303540,NM_001303540,-905.2,2277
NM_001293237,NM_001293237,-1344.1,3523
NM_001297700,NM_001297700,-647.5,1873
NM_001290150,NM_001290150,-690.6,1603
NM_001308093,NM_001308093,-1344.87,3322
NM_001303098,NM_001303098,-1146.8,2430
NM_001301196,NM_001301196,-917.9,2219
NM_001308333,NM_001308333,-611.5,1783
NM_001290217,NM_001290217,-658,2680
NM_001306179,NM_001306179,-1531.1,3438
NM_001289745,NM_001289745,-590.8,1513
NM_001293291,NM_001293291,-952.3,2414
NM_001308294,NM_001308294,-858,1988
NM_001297666,NM_001297666,-555.3,1769
NM_001304995,NM_001304995,-431,925
NM_001300804,NM_001300804,-853.9,1771
NM_001306086,NM_001306086,-1225.5,4538
NM_001301409,NM_001301409,-713.3,2533
NM_001308170,NM_001308170,-1474.6,3541
NM_001302835,NM_001302835,-453.6,1672
NM_001293163,NM_001293163,-1272.8,3612
NM_001290151,NM_001290151,-713.4,1656
NM_001303039,NM_001303039,-822.5,1904
NM_001303110,NM_001303110,-950,2601
NM_001303474,NM_001303474,-865.5,2137
NM_012248,NM_012248,-853,2351
NM_001306219,NM_001306219,-1028.8,4090
NM_001304795,NM_001304795,-483.1,1382
NM_032712,NM_032712,-631.5,1473
NM_001291733,NM_001291733,-971.7,2254
NM_001300855,NM_001300855,-637.8,1754
NM_001290318,NM_001290318,-1435.2,4561
NM_001190255,NM_001190255,-727.6,2603
NM_001304779,NM_001304779,-1030.1,3875
NM_001291974,NM_001291974,-1056.6,3760
NM_001304811,NM_001304811,-952.5,3860
NM_001303447,NM_001303447,-1144.9,3235
NM_001308018,NM_001308018,-881.2,3134
NM_001257387,NM_001257387,-611.6,1976
NM_001307922,NM_001307922,-694.4,2648
NM_001290139,NM_001290139,-723.4,1425
NM_001290061,NM_001290061,-1274.6,2830
NM_001300881,NM_001300881,-481.6,1061
NM_001308226,NM_001308226,-259.7,641
NM_013310,NM_013310,-486.9,1222
NM_001308375,NM_001308375,-1268,2904
NM_001307940,NM_001307940,-506.7,1998
NM_001289980,NM_001289980,-1335.2,3367
NM_006010,NM_006010,-319.8,993
NM_001300952,NM_001300952,-1693.5,4932
NM_001301159,NM_001301159,-1097.7,2127
NM_001305017,NM_001305017,-154.2,660
NM_001300807,NM_001300807,-812.8,2074
NM_001305020,NM_001305020,-1471.9,3573
NM_182905,NM_182905,-719.9,1837
NM_001306220,NM_001306220,-956.6,3878
NM_001290060,NM_001290060,-1342.1,2981
NM_001300722,NM_001300722,-1036.3,2473
NM_001302836,NM_001302836,-501.7,1840
NM_001301838,NM_001301838,-354,890
NM_001290118,NM_001290118,-806.7,2389
NM_001290187,NM_001290187,-1736,3786
NM_001306140,NM_001306140,-567.5,1567
NM_001297594,NM_001297594,-1368,4412
NM_001303499,NM_001303499,-986.2,2475
NM_001301105,NM_001301105,-796.2,2065
NM_001301875,NM_001301875,-1044.87,3217
NM_001306076,NM_001306076,-1023.01,4804
NM_001307951,NM_001307951,-599.9,1955
NM_001297770,NM_001297770,-252.7,959
NM_001303614,NM_001303614,-1486.5,3539
NM_001304748,NM_001304748,-653.4,1587
NM_001195032,NM_001195032,-190.9,654
NM_001304263,NM_001304263,-1211,3764
NM_001290062,NM_001290062,-1010.1,2247
NM_001290210,NM_001290210,-377.1,1221
NM_001304435,NM_001304435,-724.8,2813
NM_001302490,NM_001302490,-786.1,2063
NM_001297699,NM_001297699,-877.3,2217
NM_001304370,NM_001304370,-475.2,1079
NM_001304796,NM_001304796,-1010.1,2955
NM_001297721,NM_001297721,-617.6,1713
NM_001304513,NM_001304513,-241.7,761
NM_001301828,NM_001301828,-410.3,906
NM_001289931,NM_001289931,-825.9,3594
NM_001297662,NM_001297662,-749.5,1892
NM_001290152,NM_001290152,-702.1,1633
NM_001164465,NM_001164465,-1253.6,4452
NM_001308257,NM_001308257,-437.2,1814
NM_001288723,NM_001288723,-947.1,2098
NM_001308347,NM_001308347,-761.9,2160
NM_001302777,NM_001302777,-791.8,2102
NM_001005914,NM_001005914,-1372.7,3024
NM_001308123,NM_001308123,-327.6,957
NM_001304524,NM_001304524,-1050.3,2376
NM_001297778,NM_001297778,-1514.4,3796
NM_001308433,NM_001308433,-1007.9,2998
NM_001277348,NM_001277348,-827.3,2490
NM_001304762,NM_001304762,-495.5,1000
NM_001284364,NM_001284364,-1095.5,2638
NM_001305142,NM_001305142,-534.2,1271
NM_001301188,NM_001301188,-827.4,2047
NM_001301718,NM_001301718,-843.6,2303
NM_001290137,NM_001290137,-685.1,1355
NM_001306171,NM_001306171,-581.1,2152
NM_001303473,NM_001303473,-762,1869
NM_001301861,NM_001301861,-1663.7,4339
NM_001308196,NM_001308196,-1140.2,3592
NM_001300721,NM_001300721,-1108.3,2546
NM_001291949,NM_001291949,-1252.4,3618
NM_001300898,NM_001300898,-609.24,2373
NM_001290049,NM_001290049,-1089.2,4222
NM_001290212,NM_001290212,-906.5,1893
NM_001289751,NM_001289751,-971,3544
NM_001301837,NM_001301837,-268.1,707
NM_001304764,NM_001304764,-1934.3,4601
NM_001290154,NM_001290154,-787.9,1850
NM_001293197,NM_001293197,-796.7,1739
NM_001308195,NM_001308195,-1045.5,3384
NM_001305115,NM_001305115,-771.6,1849
NM_001308305,NM_001308305,-1346.2,2693
NM_001304794,NM_001304794,-1102.4,3232
NM_001304364,NM_001304364,-581.1,2137
NM_001130049,NM_001130049,-1222,3994
NM_001290230,NM_001290230,-683.2,2121
NM_001304523,NM_001304523,-1082.1,2538
NM_001303269,NM_001303269,-1245.5,4240
NM_001308251,NM_001308251,-699.4,2244
NM_001292030,NM_001292030,-1172.6,4117
NM_001291622,NM_001291622,-1089.22,4163
NM_001301228,NM_001301228,-1131.2,3676
NM_198988,NM_198988,-919,1930
NM_001305141,NM_001305141,-542,1284
NM_001308287,NM_001308287,-877.6,3313
NM_001307978,NM_001307978,-1074.1,3533
NM_001304494,NM_001304494,-614.5,2409
NM_001301140,NM_001301140,-689.2,2234
NM_001290076,NM_001290076,-1567.9,3957
NM_001300972,NM_001300972,-863.1,2662
